bike_theft_id,colour,make,model,speed,bike_type,status,cost
600000,ONG   ,SUPERCYCLE     ,,10,MT,STOLEN,
600001,BLK   ,ROCKY MOUNTAIN ,TRAILHEAD      ,1,MT,RECOVERED,
600002,BLU   ,MONGOOSE       ,,18,MT,STOLEN,200.0
600003,WHI   ,SCOTT          ,,24,OT,STOLEN,1600.0
600004,BLU   ,RALEIGH        ,,18,OT,STOLEN,650.0
600005,GRY   ,OTHER          ,,0,MT,STOLEN,300.0
600006,BLK   ,KHS            ,URBAN SOUL     ,1,RG,STOLEN,700.0
600007,BLKBLU,SUPERCYCLE     ,UNKNOWN        ,21,OT,STOLEN,250.0
600008,BRN   ,RALEIGH        ,,3,RG,STOLEN,500.0
600009,GRY   ,NORCO          ,INDIE 1        ,27,OT,STOLEN,1200.0
600010,GRY   ,NORCO          ,OLYMPIA        ,21,OT,STOLEN,500.0
600011,REDWHI,SPECIALIZED    ,SECTEUR        ,12,RC,STOLEN,1200.0
600012,BLKRED,OTHER          ,JAGERMEISTER   ,0,TO,STOLEN,1200.0
600013,BLU   ,MONGOOSE       ,UNKNOWN        ,12,MT,STOLEN,80.0
600014,BLK   ,NEXT           ,POWER CLIMBER  ,21,MT,STOLEN,
600015,RED   ,NEXT           ,POWER CLIMBER  ,21,MT,RECOVERED,120.0
600016,WHI   ,EBIKE          ,,3,EL,STOLEN,900.0
600017,BLK   ,FUJI           ,FEATHER        ,1,MT,STOLEN,800.0
600018,BLUGRN,TREK           ,,21,MT,STOLEN,200.0
600019,,"KONA
          ",,18,TO,STOLEN,
600020,DBL   ,FORTRESS       ,1700,1,SC,STOLEN,700.0
600021,,FELT           ,,18,OT,STOLEN,250.0
600022,BLK   ,OPUS           ,CLASSICO       ,7,OT,STOLEN,675.0
600023,GRY   ,OTHER          ,,21,RG,STOLEN,1500.0
600024,BLK   ,SPECIALIZED    ,,1,MT,STOLEN,1500.0
600025,BLU   ,OTHER          ,LLBEAN         ,20,RG,STOLEN,450.0
600026,BLKBLU,CCM            ,ORION          ,21,OT,STOLEN,305.0
600027,GRY   ,JAMIS          ,HYBRID         ,30,MT,STOLEN,1000.0
600028,BLK   ,OTHER          ,BMX VERDE EON  ,0,BM,STOLEN,760.0
600029,BRN   ,THIN BLUE LINE ,CYCLONE        ,24,MT,STOLEN,400.0
600030,WHI   ,TREK           ,7100WSD        ,21,OT,STOLEN,500.0
600031,RED   ,SUPERCYCLE     ,,18,MT,STOLEN,200.0
600032,BLK   ,LI             ,VALETTA        ,1,EL,STOLEN,1600.0
600033,BLK   ,SUPERCYCLE     ,,12,MT,STOLEN,
600034,BLKGRY,DEVINCI        ,DUBIN          ,27,MT,STOLEN,859.98
600035,PLEGRY,GIANT          ,ESCAPE CITY    ,8,MT,STOLEN,579.99
600036,BLK   ,OTHER          ,,12,MT,STOLEN,20.0
600037,BLKRED,TREK           ,UNKNOWN        ,21,OT,STOLEN,700.0
600038,GRY   ,GT             ,RUKUS          ,9,MT,STOLEN,1800.0
600039,SIL   ,JAMIS          ,DURANGO        ,24,MT,STOLEN,800.0
600040,GRY   ,OTHER          ,FUGITIVE       ,21,MT,STOLEN,189.0
600041,BLU   ,OTHER          ,ECO STAR       ,1,OT,STOLEN,700.0
600042,SIL   ,GIANT          ,ESCAPE         ,24,OT,STOLEN,600.0
600043,,GIANT          ,FCR3           ,8,OT,STOLEN,
600044,GRNBRN,OPUS           ,LIBRETTO       ,1,RC,RECOVERED,675.0
600045,BLK   ,ELECTRA        ,RAT ROD        ,0,TO,STOLEN,262.49
600046,DGR   ,NORCO          ,CITYGLAD       ,7,RG,STOLEN,632.0
600047,GRNGRY,TREK           ,,21,MT,STOLEN,450.0
600048,BLK   ,OTHER          ,PRO SPORT      ,3,OT,STOLEN,650.0
600049,PNKPLE,MAXAM          ,TRAXION        ,21,MT,STOLEN,1200.0
600050,BLK   ,LINUS          ,MIXTE3         ,3,OT,STOLEN,900.0
600051,WHI   ,DEVINCI        ,,18,OT,STOLEN,3600.0
600052,BRN   ,GIANT          ,STP1           ,1,OT,STOLEN,
600053,BLUWHI,GIANT          ,XTC            ,27,MT,STOLEN,2300.0
600054,BLKGRY,HARO           ,VGF V-3        ,99,TO,UNKNOWN,
600055,BLU   ,TREK           ,4500,21,MT,STOLEN,200.0
600056,RED   ,FORTRESS       ,1700DT         ,1,SC,STOLEN,3264.0
600057,PLE   ,SPECIALIZED    ,VITA           ,8,OT,UNKNOWN,700.0
600058,BRN   ,"KONA
          ",14 DEW PLUS 56C,24,OT,STOLEN,1000.0
600059,WHI   ,REEBOK         ,MOVE PREMIERE  ,7,OT,STOLEN,250.0
600060,WHI   ,SPECIALIZED    ,SIRRUS SPORT   ,24,RG,STOLEN,703.0
600061,DBL   ,SPECIALIZED    ,VITA           ,24,RG,STOLEN,589.0
600062,REDGRY,XTI            ,XTI            ,21,RG,STOLEN,100.0
600063,BLK   ,SCOTT          ,FULL SIZED     ,24,RG,STOLEN,1600.0
600064,PLE   ,SPECIALIZED    ,UNKNOWN        ,5,RG,STOLEN,200.0
600065,BLK   ,OTHER          ,CARGO TRI-CYCLE,1,TR,STOLEN,700.0
600066,,OTHER          ,,0,OT,STOLEN,250.0
600067,BLKTRQ,OTHER          ,,25,RC,STOLEN,1700.0
600068,WHI   ,CCM            ,APEX 26        ,24,MT,STOLEN,600.0
600069,WHI   ,MIELE          ,,18,RG,STOLEN,400.0
600070,SIL   ,OTHER          ,U/K            ,18,MT,STOLEN,800.0
600071,BLK   ,OTHER          ,HUMSANHSM 223  ,1,EL,STOLEN,800.0
600072,SIL   ,SUPERCYCLE     ,VICE           ,12,MT,STOLEN,150.0
