time_id,hour,day,month,year,day_of_week
600000,1,24.0,March,2014.0,Monday    
600001,16,27.0,September,2014.0,Saturday  
600002,6,24.0,March,2014.0,Monday    
600003,15,24.0,March,2014.0,Monday    
600004,2,3.0,May,2014.0,Saturday  
600005,15,26.0,March,2014.0,Wednesday 
600008,0,1.0,January,2014.0,Wednesday 
600009,5,27.0,March,2014.0,Thursday  
600010,7,16.0,February,2014.0,Sunday    
600011,14,26.0,March,2014.0,Wednesday 
600012,0,17.0,February,2014.0,Monday    
600013,21,19.0,April,2014.0,Saturday  
600014,3,17.0,February,2014.0,Monday    
600015,13,19.0,April,2014.0,Saturday  
600016,9,8.0,April,2014.0,Tuesday   
600017,2,19.0,April,2014.0,Saturday  
600018,13,17.0,April,2014.0,Thursday  
600019,19,26.0,March,2014.0,Wednesday 
600020,3,24.0,April,2014.0,Thursday  
600021,5,9.0,April,2014.0,Wednesday 
600022,9,24.0,April,2014.0,Thursday  
600023,19,9.0,April,2014.0,Wednesday 
600024,18,24.0,April,2014.0,Thursday  
600025,4,3.0,May,2014.0,Saturday  
600026,2,11.0,May,2014.0,Sunday    
600027,0,11.0,May,2014.0,Sunday    
600028,1,16.0,May,2014.0,Friday    
600031,9,17.0,May,2014.0,Saturday  
600032,16,16.0,May,2014.0,Friday    
600033,18,18.0,May,2014.0,Sunday    
600034,20,24.0,May,2014.0,Saturday  
600035,3,30.0,March,2014.0,Sunday    
600040,14,5.0,April,2014.0,Saturday  
600041,2,12.0,April,2014.0,Saturday  
600042,13,12.0,April,2014.0,Saturday  
600045,13,15.0,April,2014.0,Tuesday   
600046,21,15.0,April,2014.0,Tuesday   
600047,0,4.0,May,2014.0,Sunday    
600048,4,6.0,May,2014.0,Tuesday   
600049,23,6.0,May,2014.0,Tuesday   
600050,13,7.0,May,2014.0,Wednesday 
600051,0,23.0,May,2014.0,Friday    
600052,20,23.0,May,2014.0,Friday    
600053,20,25.0,September,2014.0,Thursday  
600054,3,31.0,May,2014.0,Saturday  
600055,15,5.0,April,2014.0,Saturday  
600056,16,11.0,October,2013.0,Friday    
600057,20,30.0,June,2014.0,Monday    
600058,10,5.0,July,2014.0,Saturday  
600059,14,20.0,March,2014.0,Thursday  
600060,22,30.0,August,2013.0,Friday    
600061,22,5.0,March,2014.0,Wednesday 
600062,12,5.0,March,2014.0,Wednesday 
600063,16,29.0,May,2014.0,Thursday  
600064,20,4.0,July,2014.0,Friday    
600065,8,24.0,June,2014.0,Tuesday   
600066,9,16.0,October,2014.0,Thursday  
600067,1,4.0,April,2014.0,Friday    
600068,20,22.0,March,2014.0,Saturday  
600069,22,4.0,April,2014.0,Friday    
600070,9,14.0,April,2014.0,Monday    
600071,13,20.0,April,2014.0,Sunday    
600072,21,20.0,April,2014.0,Sunday    
600073,22,20.0,April,2014.0,Sunday    
600074,13,22.0,April,2014.0,Tuesday   
600075,14,22.0,April,2014.0,Tuesday   
600076,17,22.0,April,2014.0,Tuesday   
600077,12,28.0,April,2014.0,Monday    
600078,4,28.0,April,2014.0,Monday    
600079,17,28.0,April,2014.0,Monday    
600080,16,5.0,May,2014.0,Monday    
600081,10,5.0,May,2014.0,Monday    
600082,14,17.0,June,2014.0,Tuesday   
600083,7,27.0,June,2014.0,Friday    
600084,14,27.0,June,2014.0,Friday    
600085,12,3.0,May,2014.0,Saturday  
600086,8,17.0,April,2014.0,Thursday  
600088,19,27.0,June,2014.0,Friday    
600089,0,27.0,July,2014.0,Sunday    
600090,0,17.0,January,2014.0,Friday    
600091,12,15.0,January,2014.0,Wednesday 
600092,2,27.0,February,2014.0,Thursday  
600093,12,27.0,February,2014.0,Thursday  
600095,4,15.0,February,2014.0,Saturday  
600096,14,9.0,March,2014.0,Sunday    
600097,0,8.0,March,2014.0,Saturday  
600098,14,8.0,April,2014.0,Tuesday   
600099,18,17.0,April,2014.0,Thursday  
600100,11,24.0,April,2014.0,Thursday  
600101,1,25.0,April,2014.0,Friday    
600102,13,25.0,April,2014.0,Friday    
600103,1,3.0,May,2014.0,Saturday  
600104,0,3.0,May,2014.0,Saturday  
600105,0,15.0,May,2014.0,Thursday  
600106,23,15.0,May,2014.0,Thursday  
600107,19,29.0,May,2014.0,Thursday  
600108,20,4.0,June,2014.0,Wednesday 
600109,17,21.0,March,2014.0,Friday    
600110,18,6.0,April,2014.0,Sunday    
600111,18,5.0,March,2014.0,Wednesday 
600113,13,9.0,April,2014.0,Wednesday 
600114,15,9.0,April,2014.0,Wednesday 
600115,13,10.0,April,2014.0,Thursday  
600116,2,18.0,April,2014.0,Friday    
600117,16,18.0,April,2014.0,Friday    
600118,10,18.0,April,2014.0,Friday    
600119,18,18.0,April,2014.0,Friday    
600122,18,26.0,April,2014.0,Saturday  
600123,20,26.0,April,2014.0,Saturday  
600124,16,26.0,April,2014.0,Saturday  
600125,13,2.0,May,2014.0,Friday    
600126,14,2.0,May,2014.0,Friday    
600127,4,27.0,March,2014.0,Thursday  
600128,12,2.0,June,2014.0,Monday    
600129,19,3.0,June,2014.0,Tuesday   
600131,9,1.0,June,2010.0,Tuesday   
600132,5,18.0,January,2014.0,Saturday  
600133,18,11.0,June,2014.0,Wednesday 
600134,15,16.0,June,2014.0,Monday    
600135,16,17.0,June,2014.0,Tuesday   
600136,23,15.0,January,2014.0,Wednesday 
600140,15,3.0,May,2014.0,Saturday  
600141,0,16.0,May,2014.0,Friday    
600142,2,16.0,May,2014.0,Friday    
600143,11,16.0,May,2014.0,Friday    
600144,22,16.0,May,2014.0,Friday    
600145,0,17.0,May,2014.0,Saturday  
600146,7,1.0,April,2014.0,Tuesday   
600147,22,8.0,April,2014.0,Tuesday   
600148,15,24.0,April,2014.0,Thursday  
600149,20,24.0,April,2014.0,Thursday  
600151,15,25.0,April,2014.0,Friday    
600153,13,8.0,January,2014.0,Wednesday 
600155,9,15.0,January,2014.0,Wednesday 
600156,3,8.0,March,2014.0,Saturday  
600157,16,1.0,February,2014.0,Saturday  
600158,19,16.0,June,2014.0,Monday    
600159,23,20.0,June,2014.0,Friday    
600160,22,2.0,May,2014.0,Friday    
600161,3,2.0,May,2014.0,Friday    
600162,2,2.0,June,2014.0,Monday    
600163,21,11.0,June,2014.0,Wednesday 
600164,22,11.0,June,2014.0,Wednesday 
600165,16,11.0,June,2014.0,Wednesday 
600166,9,11.0,June,2014.0,Wednesday 
600168,18,16.0,June,2014.0,Monday    
600170,20,16.0,June,2014.0,Monday    
600171,18,19.0,June,2014.0,Thursday  
600173,22,19.0,June,2014.0,Thursday  
600174,16,20.0,June,2014.0,Friday    
600176,19,2.0,July,2014.0,Wednesday 
600179,18,18.0,July,2014.0,Friday    
600181,21,18.0,July,2014.0,Friday    
600182,21,15.0,May,2014.0,Thursday  
600183,18,21.0,March,2014.0,Friday    
600184,15,22.0,March,2014.0,Saturday  
600185,12,4.0,April,2014.0,Friday    
600186,2,4.0,April,2014.0,Friday    
600187,17,4.0,April,2014.0,Friday    
600189,11,4.0,April,2014.0,Friday    
600190,2,6.0,April,2014.0,Sunday    
600194,20,6.0,April,2014.0,Sunday    
600195,15,14.0,April,2014.0,Monday    
600196,10,22.0,April,2014.0,Tuesday   
600197,15,22.0,April,2014.0,Tuesday   
600198,2,4.0,June,2014.0,Wednesday 
600200,22,6.0,February,2014.0,Thursday  
600201,13,14.0,February,2014.0,Friday    
600202,19,14.0,February,2014.0,Friday    
600203,8,14.0,February,2014.0,Friday    
600204,22,20.0,February,2014.0,Thursday  
600205,23,21.0,February,2014.0,Friday    
600206,2,22.0,February,2014.0,Saturday  
600207,13,22.0,February,2014.0,Saturday  
600208,18,22.0,February,2014.0,Saturday  
600209,20,22.0,February,2014.0,Saturday  
600210,19,22.0,February,2014.0,Saturday  
600211,8,12.0,March,2014.0,Wednesday 
600212,17,23.0,March,2014.0,Sunday    
600213,4,30.0,March,2014.0,Sunday    
600214,10,30.0,March,2014.0,Sunday    
600215,17,30.0,March,2014.0,Sunday    
600216,20,9.0,March,2014.0,Sunday    
600217,14,2.0,March,2014.0,Sunday    
600218,14,8.0,March,2014.0,Saturday  
600219,8,16.0,March,2014.0,Sunday    
600220,15,16.0,March,2014.0,Sunday    
600221,18,16.0,March,2014.0,Sunday    
600222,11,2.0,March,2014.0,Sunday    
600223,20,2.0,March,2014.0,Sunday    
600224,3,9.0,March,2014.0,Sunday    
600225,18,27.0,February,2014.0,Thursday  
600226,2,1.0,April,2014.0,Tuesday   
600227,20,1.0,April,2014.0,Tuesday   
600228,12,8.0,April,2014.0,Tuesday   
600229,12,24.0,April,2014.0,Thursday  
600232,21,25.0,April,2014.0,Friday    
600233,18,25.0,April,2014.0,Friday    
600236,3,3.0,May,2014.0,Saturday  
600237,14,3.0,May,2014.0,Saturday  
600238,12,18.0,February,2014.0,Tuesday   
600239,23,27.0,March,2014.0,Thursday  
600241,11,27.0,March,2014.0,Thursday  
600242,13,26.0,March,2014.0,Wednesday 
600243,18,24.0,March,2014.0,Monday    
600245,14,24.0,March,2014.0,Monday    
600246,14,17.0,March,2014.0,Monday    
600247,22,7.0,March,2014.0,Friday    
600248,3,1.0,March,2014.0,Saturday  
600249,18,26.0,February,2014.0,Wednesday 
600251,7,18.0,February,2014.0,Tuesday   
600252,23,8.0,February,2014.0,Saturday  
600253,19,8.0,February,2014.0,Saturday  
600254,14,7.0,February,2014.0,Friday    
600255,13,7.0,February,2014.0,Friday    
600256,2,7.0,February,2014.0,Friday    
600257,1,24.0,January,2014.0,Friday    
600258,15,23.0,January,2014.0,Thursday  
600259,4,23.0,January,2014.0,Thursday  
600261,22,3.0,May,2014.0,Saturday  
600262,2,8.0,May,2014.0,Thursday  
600263,7,8.0,May,2014.0,Thursday  
600264,21,8.0,May,2014.0,Thursday  
600265,18,11.0,May,2014.0,Sunday    
600266,13,16.0,May,2014.0,Friday    
600267,17,16.0,May,2014.0,Friday    
600268,6,17.0,May,2014.0,Saturday  
600269,13,27.0,February,2014.0,Thursday  
600270,3,2.0,March,2014.0,Sunday    
600271,21,2.0,March,2014.0,Sunday    
600272,20,27.0,February,2014.0,Thursday  
600273,9,8.0,March,2014.0,Saturday  
600274,19,9.0,March,2014.0,Sunday    
600275,1,16.0,March,2014.0,Sunday    
600276,2,16.0,March,2014.0,Sunday    
600279,10,27.0,February,2014.0,Thursday  
600280,20,17.0,February,2014.0,Monday    
600281,0,16.0,February,2014.0,Sunday    
600284,14,15.0,February,2014.0,Saturday  
600285,14,18.0,January,2014.0,Saturday  
600286,19,18.0,January,2014.0,Saturday  
600287,20,18.0,January,2014.0,Saturday  
600288,13,16.0,January,2014.0,Thursday  
600289,2,7.0,January,2014.0,Tuesday   
600290,11,25.0,December,2013.0,Wednesday 
600291,10,15.0,February,2014.0,Saturday  
600292,1,1.0,February,2014.0,Saturday  
600293,6,1.0,February,2014.0,Saturday  
600294,17,16.0,March,2014.0,Sunday    
600297,9,8.0,January,2014.0,Wednesday 
600298,20,1.0,January,2014.0,Wednesday 
600299,12,17.0,February,2014.0,Monday    
600300,0,6.0,May,2014.0,Tuesday   
600302,18,6.0,May,2014.0,Tuesday   
600305,8,31.0,May,2014.0,Saturday  
600306,12,31.0,May,2014.0,Saturday  
600307,19,31.0,May,2014.0,Saturday  
600308,23,30.0,June,2014.0,Monday    
600309,1,6.0,July,2014.0,Sunday    
600310,3,6.0,July,2014.0,Sunday    
600311,7,6.0,July,2014.0,Sunday    
600312,10,6.0,July,2014.0,Sunday    
600313,16,6.0,July,2014.0,Sunday    
600314,19,6.0,July,2014.0,Sunday    
600315,23,3.0,January,2014.0,Friday    
600316,13,11.0,January,2014.0,Saturday  
600317,7,1.0,January,2013.0,Tuesday   
600318,17,6.0,February,2014.0,Thursday  
600319,11,22.0,February,2014.0,Saturday  
600320,10,7.0,May,2014.0,Wednesday 
600321,2,3.0,January,2014.0,Friday    
600322,0,11.0,January,2014.0,Saturday  
600323,1,11.0,January,2014.0,Saturday  
600324,3,11.0,January,2014.0,Saturday  
600328,1,20.0,January,2014.0,Monday    
600329,9,20.0,January,2014.0,Monday    
600330,11,21.0,January,2014.0,Tuesday   
600331,21,21.0,January,2014.0,Tuesday   
600332,18,22.0,January,2014.0,Wednesday 
600333,0,22.0,January,2014.0,Wednesday 
600334,19,22.0,January,2014.0,Wednesday 
600335,12,1.0,December,2012.0,Saturday  
600336,11,7.0,May,2014.0,Wednesday 
600337,0,20.0,May,2014.0,Tuesday   
600338,18,20.0,May,2014.0,Tuesday   
600339,19,20.0,May,2014.0,Tuesday   
600340,19,6.0,June,2014.0,Friday    
600343,16,20.0,May,2014.0,Tuesday   
600345,20,25.0,July,2014.0,Friday    
600347,1,26.0,July,2014.0,Saturday  
600348,2,26.0,July,2014.0,Saturday  
600349,10,26.0,July,2014.0,Saturday  
