,hood_id,name,division
0,132,Malvern ,D42
1,76,Bay Street Corridor ,D52
2,1,West Humber-Clairville ,D23
3,47,Don Valley Village ,D33
4,90,Junction Area ,D11
5,136,West Hill ,D43
7,110,Keelesdale-Eglinton West ,D12
8,35,Westminster-Branson ,D32
10,120,Clairlea-Birchmount ,D41
11,31,Yorkdale-Glen Park ,D32
13,128,Agincourt South-Malvern West ,D42
14,77,Waterfront Communities-The Island ,D51
15,74,North St.James Town ,D51
16,86,Roncesvalles ,D11
18,93,Dovercourt-Wallace Emerson-Junction ,D14
19,27,York University Heights ,D32
20,108,Briar Hill-Belgravia ,D13
21,14,Islington-City Centre West ,D22
22,118,Tam O'Shanter-Sullivan ,D42
23,24,Black Creek ,D31
24,78,Kensington-Chinatown ,D14
25,79,University ,D14
26,39,Bedford Park-Nortown ,D32
28,27,York University Heights ,D31
31,77,Waterfront Communities-The Island ,D52
32,119,Wexford/Maryvale ,D41
33,98,Rosedale-Moore Park ,D53
42,95,Annex ,D53
45,137,Woburn ,D43
47,25,Glenfield-Jane Heights ,D31
48,79,University ,D52
50,50,Newtonbrook East ,D32
51,72,Regent Park ,D51
52,69,Blake-Jones ,D55
53,78,Kensington-Chinatown ,D52
54,62,East End-Danforth ,D55
56,75,Church-Yonge Corridor ,D51
57,80,Palmerston-Little Italy ,D14
58,103,Lawrence Park South ,D53
59,26,Downsview-Roding-CFB ,D31
60,45,Parkwoods-Donalda ,D33
62,7,Willowridge-Martingrove-Richview ,D23
63,139,Scarborough Village ,D43
64,124,Kennedy Park ,D41
67,28,Rustic ,D12
68,100,Yonge-Eglinton ,D53
69,56,Leaside-Bennington ,D53
70,46,Pleasant View ,D33
71,55,Thorncliffe Park ,D53
72,122,Birchcliffe-Cliffside ,D41
74,61,Taylor-Massey ,D54
76,126,Dorset Park ,D41
78,73,Moss Park ,D51
80,112,Beechborough-Greenbrook ,D12
81,97,Yonge-St.Clair ,D53
83,16,Stonegate-Queensway ,D22
85,127,Bendale ,D43
88,44,Flemingdon Park ,D54
89,6,Kingsview Village-The Westway ,D23
98,95,Annex ,D14
100,68,North Riverdale ,D55
102,30,Brookhaven-Amesbury ,D12
103,65,Greenwood-Coxwell ,D55
106,9,Edenbridge-Humber Valley ,D22
107,121,Oakridge ,D41
108,134,Highland Creek ,D43
110,113,Weston ,D12
113,11,Eringate-Centennial-West Deane ,D22
116,104,Mount Pleasant West ,D53
117,109,Caledonia-Fairbank ,D13
123,41,Bridle Path-Sunnybrook-York Mills ,D53
124,129,Agincourt North ,D42
125,138,Eglinton East ,D43
126,36,Newtonbrook West ,D32
135,131,Rouge ,D42
136,18,New Toronto ,D22
140,2,Mount Olive-Silverstone-Jamestown ,D23
144,52,Bayview Village ,D33
148,70,South Riverdale ,D55
161,84,Little Portugal ,D14
162,13,Etobicoke West Mall ,D22
163,117,L'Amoreaux ,D42
164,111,Rockcliffe-Smythe ,D12
170,93,Dovercourt-Wallace Emerson-Junction ,D11
171,31,Yorkdale-Glen Park ,D13
173,53,Henry Farm ,D33
174,10,Princess-Rosethorn ,D22
176,57,Broadview North ,D54
196,116,Steeles ,D42
198,81,Trinity-Bellwoods ,D14
201,19,Long Branch ,D22
204,91,Weston-Pellam Park ,D11
205,40,St.Andrew-Windfields ,D33
206,32,Englemount-Lawrence ,D32
208,77,Waterfront Communities-The Island ,D14
215,12,Markland Wood ,D22
216,41,Bridle Path-Sunnybrook-York Mills ,D32
218,33,Clanton Park ,D32
224,92,Corso Italia-Davenport ,D13
228,96,Casa Loma ,D53
234,54,O'Connor-Parkview ,D54
243,140,Guildwood ,D43
248,85,South Parkdale ,D14
249,135,Morningside ,D43
253,101,Forest Hill South ,D13
254,89,Runnymede-Bloor West Village ,D11
266,96,Casa Loma ,D13
273,34,Bathurst Manor ,D32
274,127,Bendale ,D41
276,123,Cliffcrest ,D41
286,42,Banbury-Don Mills ,D33
292,138,Eglinton East ,D41
298,84,Little Portugal ,D11
307,90,Junction Area ,D12
308,63,The Beaches ,D55
313,82,Niagara ,D14
319,43,Victoria Village ,D54
322,62,East End-Danforth ,D54
339,58,Old East York ,D54
348,10,Princess-Rosethorn ,D23
355,43,Victoria Village ,D33
361,51,Willowdale East ,D32
362,83,Dufferin Grove ,D14
366,26,Downsview-Roding-CFB ,D32
375,38,Lansing-Westgate ,D32
389,133,Centennial Scarborough ,D43
397,5,Elms-Old Rexdale ,D23
408,87,High Park-Swansea ,D11
417,21,Humber Summit ,D31
