,locationID,Hood_ID,Neighbourhood,Division
0,300000,132,Malvern ,D42
1,300001,76,Bay Street Corridor ,D52
2,300002,1,West Humber-Clairville ,D23
3,300003,47,Don Valley Village ,D33
4,300004,90,Junction Area ,D11
5,300005,136,West Hill ,D43
6,300007,110,Keelesdale-Eglinton West ,D12
7,300008,35,Westminster-Branson ,D32
8,300010,120,Clairlea-Birchmount ,D41
9,300011,31,Yorkdale-Glen Park ,D32
10,300013,128,Agincourt South-Malvern West ,D42
11,300014,77,Waterfront Communities-The Island ,D51
12,300015,74,North St.James Town ,D51
13,300016,86,Roncesvalles ,D11
14,300018,93,Dovercourt-Wallace Emerson-Junction ,D14
15,300019,27,York University Heights ,D32
16,300020,108,Briar Hill-Belgravia ,D13
17,300021,14,Islington-City Centre West ,D22
18,300022,118,Tam O'Shanter-Sullivan ,D42
19,300023,24,Black Creek ,D31
20,300024,78,Kensington-Chinatown ,D14
21,300025,79,University ,D14
22,300026,39,Bedford Park-Nortown ,D32
23,300028,27,York University Heights ,D31
24,300031,77,Waterfront Communities-The Island ,D52
25,300032,119,Wexford/Maryvale ,D41
26,300033,98,Rosedale-Moore Park ,D53
27,300042,95,Annex ,D53
28,300045,137,Woburn ,D43
29,300047,25,Glenfield-Jane Heights ,D31
30,300048,79,University ,D52
31,300050,50,Newtonbrook East ,D32
32,300051,72,Regent Park ,D51
33,300052,69,Blake-Jones ,D55
34,300053,78,Kensington-Chinatown ,D52
35,300054,62,East End-Danforth ,D55
36,300056,75,Church-Yonge Corridor ,D51
37,300057,80,Palmerston-Little Italy ,D14
38,300058,103,Lawrence Park South ,D53
39,300059,26,Downsview-Roding-CFB ,D31
40,300060,45,Parkwoods-Donalda ,D33
41,300062,7,Willowridge-Martingrove-Richview ,D23
42,300063,139,Scarborough Village ,D43
43,300064,124,Kennedy Park ,D41
44,300067,28,Rustic ,D12
45,300068,100,Yonge-Eglinton ,D53
46,300069,56,Leaside-Bennington ,D53
47,300070,46,Pleasant View ,D33
48,300071,55,Thorncliffe Park ,D53
49,300072,122,Birchcliffe-Cliffside ,D41
50,300074,61,Taylor-Massey ,D54
51,300076,126,Dorset Park ,D41
52,300078,73,Moss Park ,D51
53,300080,112,Beechborough-Greenbrook ,D12
54,300081,97,Yonge-St.Clair ,D53
55,300083,16,Stonegate-Queensway ,D22
56,300085,127,Bendale ,D43
57,300088,44,Flemingdon Park ,D54
58,300089,6,Kingsview Village-The Westway ,D23
59,300098,95,Annex ,D14
60,300100,68,North Riverdale ,D55
