timeID,hour,day,month,year,dayOfWeek
616822,0,1,January,2000,Saturday  
764236,9,1,January,2000,Saturday  
606103,10,1,January,2000,Saturday  
690204,12,1,January,2000,Saturday  
678318,23,1,January,2000,Saturday  
658641,10,1,February,2000,Tuesday   
624344,12,1,August,2000,Tuesday   
634233,0,1,October,2000,Sunday    
618709,8,22,November,2000,Wednesday 
637051,0,1,January,2001,Monday    
687397,2,1,January,2001,Monday    
768333,18,1,April,2001,Sunday    
781629,12,27,July,2001,Friday    
796779,19,10,October,2001,Wednesday 
611599,21,23,October,2001,Tuesday   
637651,19,30,October,2001,Tuesday   
758653,22,22,November,2001,Thursday  
667530,0,1,January,2002,Tuesday   
698735,12,1,January,2002,Tuesday   
791552,15,1,January,2002,Tuesday   
612460,0,1,March,2002,Friday    
705784,0,14,April,2002,Sunday    
743389,12,20,June,2002,Thursday  
707108,12,1,July,2002,Monday    
627374,13,1,September,2002,Sunday    
694377,19,5,September,2002,Thursday  
629890,0,1,January,2003,Wednesday 
721627,1,1,January,2003,Wednesday 
779292,20,1,January,2003,Wednesday 
778057,0,25,April,2003,Friday    
629296,0,1,May,2003,Thursday  
706452,0,1,September,2003,Monday    
616851,0,1,January,2004,Thursday  
635907,20,1,January,2004,Thursday  
751360,0,21,February,2004,Saturday  
734256,12,1,March,2004,Monday    
618763,12,23,May,2004,Sunday    
700388,0,20,September,2004,Monday    
655882,0,1,October,2004,Friday    
677815,12,1,January,2005,Saturday  
747160,19,1,January,2005,Saturday  
643108,0,30,April,2005,Saturday  
796400,14,1,June,2005,Wednesday 
605860,0,13,June,2005,Monday    
607533,12,1,July,2005,Friday    
754355,17,4,November,2005,Friday    
669375,17,30,November,2005,Wednesday 
616556,0,1,January,2006,Sunday    
606395,12,1,January,2006,Sunday    
619449,0,1,October,2006,Sunday    
765406,12,12,October,2006,Thursday  
637227,0,1,January,2007,Monday    
634203,1,1,January,2007,Monday    
780404,8,1,January,2007,Monday    
690841,9,1,January,2007,Monday    
654287,12,1,January,2007,Monday    
770080,17,1,February,2007,Thursday  
776792,0,1,May,2007,Tuesday   
639896,0,1,August,2007,Wednesday 
670318,5,1,August,2007,Wednesday 
676394,15,1,December,2007,Saturday  
622744,14,4,December,2007,Tuesday   
619121,0,1,January,2008,Tuesday   
622731,7,1,January,2008,Tuesday   
736179,12,1,January,2008,Tuesday   
779544,23,1,January,2008,Tuesday   
603412,0,1,March,2008,Saturday  
762287,9,1,March,2008,Saturday  
644141,0,27,May,2008,Tuesday   
619139,0,1,June,2008,Sunday    
781177,12,1,June,2008,Sunday    
712531,15,1,June,2008,Sunday    
628025,12,6,June,2008,Friday    
689658,8,1,July,2008,Tuesday   
621708,0,1,September,2008,Monday    
652203,0,1,November,2008,Saturday  
611172,0,1,December,2008,Monday    
648852,12,1,December,2008,Monday    
612769,0,1,January,2009,Thursday  
611238,8,1,January,2009,Thursday  
731974,12,1,January,2009,Thursday  
634121,0,15,January,2009,Thursday  
791974,18,10,February,2009,Tuesday   
620028,8,11,March,2009,Wednesday 
780832,19,24,March,2009,Tuesday   
777803,0,1,April,2009,Wednesday 
640391,19,12,April,2009,Sunday    
637985,12,1,May,2009,Friday    
651987,16,24,May,2009,Sunday    
633575,0,1,June,2009,Monday    
796775,15,27,July,2009,Monday    
614279,0,1,August,2009,Saturday  
764283,0,1,September,2009,Tuesday   
724361,9,8,September,2009,Tuesday   
647727,0,1,October,2009,Thursday  
737135,9,1,October,2009,Thursday  
616544,12,6,October,2009,Tuesday   
613780,0,1,November,2009,Sunday    
788231,0,1,December,2009,Tuesday   
614686,0,1,January,2010,Friday    
625803,7,1,January,2010,Friday    
709099,8,1,January,2010,Friday    
628948,10,1,January,2010,Friday    
622975,13,1,January,2010,Friday    
636820,15,1,January,2010,Friday    
760032,17,1,January,2010,Friday    
695799,18,1,January,2010,Friday    
642522,12,8,January,2010,Friday    
608079,0,1,February,2010,Monday    
668954,0,8,February,2010,Monday    
616412,12,14,February,2010,Sunday    
751050,14,16,February,2010,Tuesday   
610590,0,1,March,2010,Monday    
622113,7,28,March,2010,Sunday    
627501,23,13,April,2010,Tuesday   
605863,11,17,April,2010,Saturday  
744383,0,1,May,2010,Saturday  
762018,19,1,May,2010,Saturday  
623127,17,12,May,2010,Wednesday 
695050,0,1,June,2010,Tuesday   
600131,9,1,June,2010,Tuesday   
788458,15,1,June,2010,Tuesday   
733855,0,1,July,2010,Thursday  
694337,0,8,July,2010,Thursday  
605959,0,21,July,2010,Wednesday 
701766,0,1,August,2010,Sunday    
713032,12,1,August,2010,Sunday    
710152,17,1,August,2010,Sunday    
621453,0,21,August,2010,Saturday  
601568,15,28,August,2010,Saturday  
739087,0,30,August,2010,Monday    
626200,0,1,September,2010,Wednesday 
650593,8,1,September,2010,Wednesday 
658861,12,1,September,2010,Wednesday 
