event_id,make,model,bike_type,colour,speed,cost,status
801989,NO,CRD1,RC,BLU,10,1335,STOLEN
800629,NORCO,MEN'S HYBRID,OT,BLK,18,700,STOLEN
801978,RM,,OT,BLK,8,1000,STOLEN
800009,KHS,URBAN SOUL,RG,BLK,1,700,STOLEN
802026,KO,JAKE,RC,BLU,1,1300,STOLEN
801972,RA,RECORD,RC,WHI,9,550,STOLEN
802071,GI,SEEK 2 (2012),OT,WHI,21,800,STOLEN
801672,UK,MINELLI,MT,YEL,20,400,STOLEN
800089,CCM,APEX 26,MT,WHI,24,600,STOLEN
802775,OT,DOLCE RV,RC,WHI,27,1800,STOLEN
800532,TREK,MOUNTAIN,MT,WHIRED,21,1000,STOLEN
800533,SC,HYDRA 700C,OT,BLU,24,400,STOLEN
800517,IRON HORSE,,MT,DGR,18,700,STOLEN
800518,IRON HORSE,,MT,DGR,18,700,STOLEN
801390,TREK,,MT,REDBLK,27,1000,STOLEN
801391,OTHER,,MT,BLU,1,1100,STOLEN
801392,OTHER,,MT,WHI,1,500,STOLEN
801956,RA,,RG,MRN,7,500,STOLEN
800632,KHS,SOUL,OT,BLK,1,630,STOLEN
800654,OTHER,KLICK,SC,BLUONG,0,150,RECOVERED
800656,CIPHER,TRIBAL,MT,RED,18,200,STOLEN
800657,CCM,,RC,BLKRED,21,500,STOLEN
800678,UNKNOWN MAKE,,OT,GRN,8,160,STOLEN
800445,OTHER,GARDEAU,TO,GRY,12,900,STOLEN
800559,MARIN OR MARINO,MEIRWOOD,OT,BLK,18,800,STOLEN
802001,TR,7.2FX,RG,BLK,24,700,STOLEN
801981,UK,I DONT KNOW,MT,BLK,6,500,STOLEN
801790,RA,,RG,GRY,8,600,STOLEN
801045,OTHER,ROAD RUNNER,EL,BLK,0,3500,UNKNOWN
800648,UNKNOWN MAKE,CRUSOR,TO,GLD,1,10,STOLEN
800930,MURRAY,,MT,GRNLGR,12,,STOLEN
800931,MURRAY,,MT,TRQ,12,,STOLEN
801957,KO,DEW,OT,BLK,24,700,STOLEN
801962,OT,DUTCH LOTTERY,OT,WHI,1,350,STOLEN
804864,EM,GX500,EL,WHI,2,1195,STOLEN
801286,EMMO,H5,EL,BLK,5,3000,STOLEN
800544,OTHER,,TR,BLUWHI,1,6000,STOLEN
800912,EMMO,GT5,EL,BLK,0,2000,STOLEN
800271,CCM,,OT,SIL,0,300,STOLEN
800272,OT,PURE PR01,RC,BLK,30,2700,STOLEN
