event_id,make,model,bike_type,colour,speed,cost,status
191100,SUPERCYCLE,,MT,ONG,10,,STOLEN
191101,IRON HORSE,,MT,BLU,24,500,STOLEN
191102,ROCKY MOUNTAIN,TRAILHEAD,MT,BLK,1,,RECOVERED
191103,MONGOOSE,,MT,BLU,18,200,STOLEN
191104,TR,7.5 FX,RC,BLK,21,1200,STOLEN
191105,SCOTT,,OT,WHI,24,1600,STOLEN
191106,RALEIGH,,OT,BLU,18,650,STOLEN
191107,OTHER,,MT,GRY,0,300,STOLEN
191108,GIANT,STP2,MT,BLK,15,600,STOLEN
191109,KHS,URBAN SOUL,RG,BLK,1,700,STOLEN
191110,SUPERCYCLE,UNKNOWN,OT,BLKBLU,21,250,STOLEN
191111,RALEIGH,,RG,BRN,3,500,STOLEN
191112,NORCO,INDIE 1,OT,GRY,27,1200,STOLEN
191113,NORCO,OLYMPIA,OT,GRY,21,500,STOLEN
191114,SPECIALIZED,SECTEUR,RC,REDWHI,12,1200,STOLEN
191115,OTHER,JAGERMEISTER,TO,BLKRED,0,1200,STOLEN
191116,UK,,TO,BLK,14,3500,STOLEN
191117,MONGOOSE,UNKNOWN,MT,BLU,12,80,STOLEN
191118,OTHER,,RG,GRY,21,1500,STOLEN
191119,SPECIALIZED,,MT,BLK,1,1500,STOLEN
191120,OTHER,LLBEAN,RG,BLU,20,450,STOLEN
191121,CC,STATIC,MT,BLK,21,,STOLEN
191122,NEXT,POWER CLIMBER,MT,BLK,21,,STOLEN
191123,NEXT,POWER CLIMBER,MT,RED,21,120,RECOVERED
191124,EBIKE,,EL,WHI,3,900,STOLEN
191125,FUJI,FEATHER,MT,BLK,1,800,STOLEN
191126,NA,,RG,LBL,21,200,STOLEN
191127,TREK,,MT,BLUGRN,21,200,STOLEN
191128,KONA,,TO,,18,,STOLEN
191129,FORTRESS,1700,SC,DBL,1,700,STOLEN
191130,FELT,,OT,,18,250,STOLEN
191131,OPUS,CLASSICO,OT,BLK,7,675,STOLEN
191132,OT,ALLEZ,RC,GRY,30,1000,STOLEN
191133,CCM,ORION,OT,BLKBLU,21,305,STOLEN
191134,CCM,ORION,OT,BLKBLU,21,305,STOLEN
191135,JAMIS,HYBRID,MT,GRY,30,1000,STOLEN
191136,OTHER,BMX VERDE EON,BM,BLK,0,760,STOLEN
191137,THIN BLUE LINE,CYCLONE,MT,BRN,24,400,STOLEN
191138,TREK,7100WSD,OT,WHI,21,500,STOLEN
191139,OT,ARISTOTLE,RC,BLK,1,1000,STOLEN
191140,SUPERCYCLE,,MT,RED,18,200,STOLEN
191141,GI,TRANSEND,RG,SIL,18,677,STOLEN
191142,LI,VALETTA,EL,BLK,1,1600,STOLEN
191143,OT,,MT,BLK,21,0,STOLEN
191144,SUPERCYCLE,,MT,BLK,12,,STOLEN
191145,DEVINCI,DUBIN,MT,BLKGRY,27,859.98,STOLEN
191146,GIANT,ESCAPE CITY,MT,PLEGRY,8,579.99,STOLEN
191147,OTHER,,MT,BLK,12,20,STOLEN
191148,TREK,UNKNOWN,OT,BLKRED,21,700,STOLEN
191149,OT,ALLEZ,TO,WHI,10,3000,STOLEN
191150,GT,RUKUS,MT,GRY,9,1800,STOLEN
191151,JAMIS,DURANGO,MT,SIL,24,800,STOLEN
191152,CC,APEX,MT,WHI,18,600,STOLEN
191153,CA,QUICK 5,RG,SIL,8,600,STOLEN
