accident_id,person_id,involvement_type,age,injury,vehicle_type,action_taken
1,1,Vehicle Owner,,None,Other,
1,2,Driver,22.0,Minimal,"Automobile, Station Wagon",Going Ahead
1,3,Other Property Owner,,None,Other,
1,4,Passenger,17.0,Major,Other,
2,5,Passenger,17.0,Major,Other,
2,6,Passenger,17.0,Major,Other,Other
2,7,Vehicle Owner,,,Other,
2,8,Driver,17.0,Major,"Automobile, Station Wagon",Going Ahead
3,9,Vehicle Owner,,,Other,
3,10,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
3,11,Pedestrian,32.0,Fatal,Other,
4,12,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
4,13,Pedestrian,62.0,Major,Other,
5,14,Vehicle Owner,,,Other,
5,15,Driver,37.0,None,Municipal Transit Bus (TTC),Turning Right
5,16,Cyclist,27.0,Major,Bicycle,Going Ahead
6,17,Driver,,None,"Automobile, Station Wagon",Turning Left
6,18,Pedestrian,67.0,Fatal,Other,
7,19,Motorcycle Driver,47.0,Fatal,Motorcycle,Turning Right
7,20,Driver,,None,"Automobile, Station Wagon",Going Ahead
8,21,Driver,32.0,None,"Automobile, Station Wagon",Turning Left
8,22,Pedestrian,27.0,Major,Other,
9,23,Passenger,57.0,Major,Other,
9,24,Vehicle Owner,,None,Other,
9,25,Passenger,2.0,Minor,Other,
9,26,Driver,27.0,Minor,"Automobile, Station Wagon",Going Ahead
9,27,Driver,67.0,Major,"Automobile, Station Wagon",Turning Left
9,28,Driver,37.0,None,"Automobile, Station Wagon",Stopped
9,29,Driver,27.0,Major,"Automobile, Station Wagon",Going Ahead
10,30,Driver,47.0,Minimal,"Automobile, Station Wagon",Going Ahead
10,31,Vehicle Owner,,None,Other,
10,32,Passenger,52.0,Major,Other,
10,33,Passenger,27.0,None,Other,
10,34,Passenger,37.0,None,Other,
10,35,Driver,37.0,Major,"Automobile, Station Wagon",Going Ahead
11,36,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
11,37,Pedestrian,62.0,Major,Other,
12,38,Driver,42.0,None,"Automobile, Station Wagon",Going Ahead
12,39,Pedestrian,52.0,Major,Other,
13,40,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
13,41,Passenger,17.0,Minimal,Other,Other
13,42,Passenger,22.0,Major,Other,Other
13,43,Passenger,17.0,Major,Other,Other
13,44,Vehicle Owner,,None,Other,Other
13,45,Driver,17.0,Minimal,"Automobile, Station Wagon",Going Ahead
14,46,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
14,47,Driver,22.0,Major,"Automobile, Station Wagon",Making U Turn
15,48,Passenger,27.0,Major,Other,
15,49,Driver,27.0,Minor,"Automobile, Station Wagon",Going Ahead
15,50,Other Property Owner,,None,Other,
16,51,Driver,27.0,Major,"Automobile, Station Wagon",Stopped
16,52,Driver,42.0,Minor,"Automobile, Station Wagon",Going Ahead
16,53,Passenger,82.0,Major,Other,
16,54,Passenger,52.0,Minor,Other,
16,55,Driver,52.0,Major,"Automobile, Station Wagon",Going Ahead
16,56,Driver,22.0,None,"Automobile, Station Wagon",Stopped
17,57,Passenger,22.0,Minimal,Other,
17,58,Driver,27.0,Major,"Automobile, Station Wagon",Slowing or Stopping
17,59,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
18,60,Driver,,None,"Automobile, Station Wagon",Unknown
18,61,Pedestrian,27.0,Major,Other,
19,62,Vehicle Owner,,,Other,
19,63,Passenger,32.0,Major,Other,
19,64,Driver,32.0,None,"Automobile, Station Wagon",Stopped
19,65,Driver,32.0,None,"Automobile, Station Wagon",Overtaking
20,66,Driver,52.0,Minimal,"Automobile, Station Wagon",Going Ahead
20,67,Passenger,27.0,Minimal,Other,
20,68,Driver,22.0,Major,"Automobile, Station Wagon",Stopped
20,69,Driver,27.0,Minimal,"Automobile, Station Wagon",Going Ahead
20,70,Driver,32.0,None,"Automobile, Station Wagon",Going Ahead
21,71,Vehicle Owner,,None,Other,
21,72,Driver,42.0,None,"Automobile, Station Wagon",Slowing or Stopping
21,73,Driver,57.0,Major,Other,Slowing or Stopping
22,74,Driver,57.0,None,"Automobile, Station Wagon",Stopped
22,75,Motorcycle Driver,42.0,Major,Motorcycle,Changing Lanes
23,76,Driver,47.0,None,"Automobile, Station Wagon",Going Ahead
23,77,Driver,62.0,Major,"Automobile, Station Wagon",Stopped
24,78,Driver,57.0,Minor,"Automobile, Station Wagon",Going Ahead
24,79,Driver,27.0,Major,"Automobile, Station Wagon",Going Ahead
25,80,Passenger,7.0,Minor,Other,
25,81,Passenger,32.0,Fatal,Other,
25,82,Driver,37.0,Major,"Automobile, Station Wagon",Going Ahead
25,83,Driver,52.0,None,"Automobile, Station Wagon",Stopped
25,84,Vehicle Owner,,,Other,
25,85,Driver,52.0,None,Municipal Transit Bus (TTC),Going Ahead
26,86,Driver,32.0,None,"Automobile, Station Wagon",Turning Left
26,87,Pedestrian,72.0,Major,Other,
27,88,Passenger,77.0,Major,Other,Other
27,89,Driver,82.0,Minor,"Automobile, Station Wagon",Turning Left
27,90,Driver,37.0,Minimal,"Automobile, Station Wagon",Going Ahead
28,91,Passenger,27.0,Major,Other,
28,92,Passenger,22.0,Minor,Other,
28,93,Vehicle Owner,,,Other,
28,94,Driver,27.0,Minor,"Automobile, Station Wagon",Going Ahead
29,95,Driver,77.0,None,"Automobile, Station Wagon",Turning Left
29,96,Pedestrian,22.0,Minor,Other,
29,97,Pedestrian,22.0,Major,Other,
30,98,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
30,99,Passenger,52.0,Minimal,Other,
30,100,Driver,52.0,None,"Automobile, Station Wagon",Going Ahead
30,101,Driver,,None,"Automobile, Station Wagon",Going Ahead
30,102,Vehicle Owner,,,Other,
30,103,Driver,37.0,Minor,"Automobile, Station Wagon",Going Ahead
30,104,Driver,42.0,None,"Automobile, Station Wagon",Going Ahead
30,105,Cyclist,27.0,Major,Bicycle,Going Ahead
30,106,Other Property Owner,,,Other,
31,107,Passenger,52.0,Major,,
31,108,Passenger,17.0,Minor,,
31,109,Driver,57.0,Minor,"Automobile, Station Wagon",Going Ahead
31,110,Passenger,22.0,Minor,,
31,111,Vehicle Owner,,,,
31,112,Driver,27.0,None,"Automobile, Station Wagon",Going Ahead
