hood_id,name,division,high_school,university,technical_degree,employment_rate
129,Agincourt North,D42,25.68428301,39.57651919,12.18798416,50.25
128,Agincourt South-Malvern West,D42,24.91307016,45.69441604,12.88607077,53.45
20,Alderwood,D22,25.88543944,38.2597289,18.32094447,62.5
95,Annex,D53,11.37908061,77.20186542,7.195203198,66
42,Banbury-Don Mills,D33,16.67746114,64.58873057,11.30181347,56.1
34,Bathurst Manor,D32,20.43399638,56.72091621,12.80892104,60.5
76,Bay Street Corridor,D52,16.42816256,77.00343446,4.564968517,56.45
52,Bayview Village,D33,14.26633068,69.39329327,11.26187246,58.85
49,Bayview Woods-Steeles,D33,16.19694397,64.17657046,10.83191851,51.7
39,Bedford Park-Nortown,D32,15.03152088,68.73522459,8.41213554,60.65
112,Beechborough-Greenbrook,D12,28.5042333,24.55315146,16.74506115,52.95
127,Bendale,D43,26.40166638,42.33639993,14.77174102,53.15
122,Birchcliffe-Cliffside,D41,24.40670079,45.16053979,16.79851094,59.75
24,Black Creek,D31,30.00288767,19.28963327,13.62980075,48.35
69,Blake-Jones,D55,17.17752235,56.06641124,11.74968072,59.65
108,Briar Hill-Belgravia,D13,21.32963989,46.01800554,15.02770083,62.05
41,Bridle Path-Sunnybrook-York Mills,D53,13.41681574,76.52057245,4.561717352,54.05
57,Broadview North,D54,19.08523909,52.88981289,14.17879418,61.35
30,Brookhaven-Amesbury,D12,27.68512342,26.78452302,17.04469646,57.5
71,Cabbagetown-South St. James Town,D51,15.19499632,67.36571008,11.77336277,65.25
109,Caledonia-Fairbank,D13,24.63193658,26.55719139,15.68516421,61.15
96,Casa Loma,D53,12.29090909,75.67272727,8.472727273,63.2
133,Centennial Scarborough,D43,20.09978617,54.73984319,15.93014968,59.4
75,Church-Yonge Corridor,D51,13.41611882,74.36084733,9.252495739,68.45
120,Clairlea-Birchmount,D41,24.62552427,42.84002397,15.69802277,59.75
33,Clanton Park,D32,18.75722543,57.86127168,13.35260116,63.85
123,Cliffcrest,D41,25.3144147,43.66333441,17.05901322,56.05
92,Corso Italia-Davenport,D13,20.57981389,43.16392269,11.98997853,63.2
66,Danforth,D54,16.39666176,58.22287678,11.24202258,64.1
59,Danforth East York,D54,17.41990847,54.71967963,13.5583524,62.5
47,Don Valley Village,D33,17.78534923,61.29471891,12.38500852,55.4
126,Dorset Park,D41,25.94278283,41.35240572,15.47464239,57.5
93,Dovercourt-Wallace Emerson-Junction,D14,18.97555297,50.76962877,11.87427241,65.3
26,Downsview-Roding-CFB,D31,26.83239775,29.52686447,16.08660786,57
83,Dufferin Grove,D14,16.2586075,55.12624331,12.16526396,67.05
62,East End-Danforth,D55,17.93403573,57.12322492,14.45258818,64.35
9,Edenbridge-Humber Valley,D22,19.32440657,57.66889836,12.50760803,60.9
138,Eglinton East,D43,28.1968032,35.68931069,16.50849151,53.2
5,Elms-Old Rexdale,D23,32.26600985,27.70935961,16.99507389,54.8
32,Englemount-Lawrence,D32,20.71599045,53.93794749,12.57756563,57.75
11,Eringate-Centennial-West Deane,D22,22.29551451,48.83905013,16.01583113,58.95
13,Etobicoke West Mall,D22,23.78449409,45.5978975,15.46211126,60.8
44,Flemingdon Park,D54,23.39604438,44.93487699,13.21755909,50.85
102,Forest Hill North,D53,15.21890202,68.65879083,10.00694927,66.1
101,Forest Hill South,D13,12.20532319,75.09505703,7.452471483,62.65
25,Glenfield-Jane Heights,D31,28.98609151,17.75851643,14.71477525,49.1
65,Greenwood-Coxwell,D55,18.03060546,55.58882236,13.33998669,64.4
140,Guildwood,D43,22.25,51.05,15.9,55.1
53,Henry Farm,D33,15.87711743,66.1498708,11.02497847,58.6
88,High Park North,D11,12.62135922,69.84466019,11.57281553,67.3
87,High Park-Swansea,D11,12.48616747,70.26927333,11.43489487,69.25
134,Highland Creek,D43,24.90272374,46.22568093,16.22568093,55.8
48,Hillcrest Village,D33,17.56652028,61.6636528,11.13407388,49.45
8,Humber Heights-Westmount,D23,23.07307307,44.89489489,16.46646647,55.05
21,Humber Summit,D31,27.74941995,25.84686775,13.9675174,50.95
22,Humbermede,D31,28.60882573,28.42183994,15.7816006,54.8
106,Humewood-Cedarvale,D13,13.74729688,67.65523633,11.64658635,68.7
125,Ionview,D41,25.67940134,38.99172903,16.54194565,56
