2,Assault,Assault
3,B&E,Break and Enter
4,Robbery - Business,Robbery
5,Assault With Weapon,Assault
6,Theft Over,Theft Over
7,Robbery - Mugging,Robbery
8,Theft Over - Shoplifting,Theft Over
9,B&E W'Intent,Break and Enter
10,Aggravated Assault,Assault
11,Assault Bodily Harm,Assault
12,Assault - Resist/ Prevent Seiz,Assault
13,Robbery - Other,Robbery
14,Robbery With Weapon,Robbery
15,Assault Peace Officer,Assault
16,Robbery - Home Invasion,Robbery
17,Unlawfully In Dwelling-House,Break and Enter
18,Robbery - Swarming,Robbery
19,Robbery - Purse Snatch,Robbery
20,Pointing A Firearm,Assault
21,Theft From Motor Vehicle Over,Theft Over
22,Discharge Firearm - Recklessly,Assault
23,Robbery - Financial Institute,Robbery
24,Robbery - Taxi,Robbery
25,Use Firearm / Immit Commit Off,Assault
26,Administering Noxious Thing,Assault
27,Discharge Firearm With Intent,Assault
28,Robbery - Delivery Person,Robbery
29,Assault - Force/Thrt/Impede,Assault
30,B&E Out,Break and Enter
31,Theft From Mail / Bag / Key,Theft Over
32,Crim Negligence Bodily Harm,Assault
33,Assault Peace Officer Wpn/Cbh,Assault
34,Robbery - Vehicle Jacking,Robbery
35,Robbery - Armoured Car,Robbery
36,Air Gun Or Pistol: Bodily Harm,Assault
37,Theft Over - Distraction,Theft Over
38,Theft - Misapprop Funds Over,Theft Over
39,Robbery - Atm,Robbery
40,Disarming Peace/Public Officer,Assault
41,Aggravated Aslt Peace Officer,Assault
42,Unlawfully Causing Bodily Harm,Assault
43,Aggravated Assault Avails Pros,Assault
44,Theft Of Utilities Over,Theft Over
45,B&E - To Steal Firearm,Break and Enter
46,Theft Of Motor Vehicle,Auto Theft
47,Theft Over - Bicycle,Theft Over
48,Set/Place Trap/Intend Death/Bh,Assault
49,Traps Likely Cause Bodily Harm,Assault
50,B&E - M/Veh To Steal Firearm,Break and Enter
