,hour,day,month,year,dayofweek
0,16,10,5,2014,7
1,18,11,5,2014,1
2,18,11,5,2014,1
3,19,11,5,2014,1
4,19,11,5,2014,1
5,08,9,5,2014,6
6,02,11,5,2014,1
7,12,1,5,2014,5
8,22,8,5,2014,5
9,15,5,5,2014,2
10,08,8,5,2014,5
11,05,13,5,2014,3
12,05,13,5,2014,3
13,23,12,5,2014,2
14,15,12,5,2014,2
15,15,12,5,2014,2
16,18,12,5,2014,2
17,08,13,5,2014,3
18,15,13,5,2014,3
19,12,14,5,2014,4
20,15,14,5,2014,4
21,11,14,5,2014,4
22,07,14,5,2014,4
23,23,12,5,2014,2
24,23,12,5,2014,2
25,23,12,5,2014,2
26,17,13,5,2014,3
27,14,15,5,2014,5
28,14,15,5,2014,5
29,07,15,5,2014,5
30,07,15,5,2014,5
31,15,15,5,2014,5
32,08,15,5,2014,5
33,08,28,4,2014,2
34,20,10,5,2014,7
35,20,10,5,2014,7
36,21,16,5,2014,6
37,12,12,5,2014,2
38,15,16,5,2014,6
39,15,16,5,2014,6
40,19,17,5,2014,7
41,03,18,5,2014,1
42,11,18,5,2014,1
43,13,18,5,2014,1
44,21,18,5,2014,1
45,17,18,4,2014,6
46,12,17,5,2014,7
47,08,14,5,2014,4
48,12,20,5,2014,3
49,08,20,5,2014,3
50,21,19,5,2014,2
51,20,19,5,2014,2
52,20,19,5,2014,2
53,09,19,5,2014,2
54,20,1,6,2014,1
55,09,21,5,2014,4
56,18,21,5,2014,4
57,10,21,5,2014,4
58,08,21,5,2014,4
59,18,21,5,2014,4
60,17,21,5,2014,4
61,17,21,5,2014,4
62,22,20,5,2014,3
63,14,22,5,2014,5
64,14,22,5,2014,5
65,21,18,5,2014,1
66,15,23,5,2014,6
67,16,23,5,2014,6
68,20,23,5,2014,6
69,01,24,5,2014,7
70,22,23,5,2014,6
71,11,21,5,2014,4
72,16,24,5,2014,7
73,16,22,5,2014,5
74,23,23,5,2014,6
75,17,24,5,2014,7
76,21,24,5,2014,7
77,00,25,4,2014,6
78,14,25,5,2014,1
79,12,25,5,2014,1
80,13,25,5,2014,1
81,02,25,5,2014,1
82,11,25,5,2014,1
83,16,25,5,2014,1
84,01,24,5,2014,7
85,16,21,5,2014,4
86,05,12,5,2014,2
87,17,24,5,2014,7
88,21,25,5,2014,1
89,06,27,5,2014,3
90,22,26,5,2014,2
91,08,27,5,2014,3
92,00,26,5,2014,2
93,00,26,5,2014,2
94,21,14,5,2014,4
95,15,27,5,2014,3
96,18,27,5,2014,3
97,21,27,5,2014,3
98,08,28,5,2014,4
99,20,26,5,2014,2
100,18,3,6,2014,3
101,15,8,6,2014,1
102,07,8,6,2014,1
103,14,8,6,2014,1
104,14,8,6,2014,1
105,15,8,6,2014,1
106,23,8,6,2014,1
107,00,9,6,2014,2
108,19,8,6,2014,1
109,19,23,5,2014,6
110,21,8,6,2014,1
111,12,9,6,2014,2
112,18,9,6,2014,2
113,17,8,6,2014,1
114,20,9,6,2014,2
115,14,26,5,2014,2
116,13,10,6,2014,3
117,15,9,6,2014,2
118,23,7,6,2014,7
119,13,5,6,2014,5
120,11,5,6,2014,5
121,21,10,6,2014,3
122,00,11,6,2014,4
123,17,10,6,2014,3
124,15,27,4,2014,1
125,09,2,6,2014,2
126,16,9,6,2014,2
127,22,10,6,2014,3
128,16,2,6,2014,2
129,22,7,6,2014,7
130,08,9,6,2014,2
131,09,11,6,2014,4
132,19,11,6,2014,4
133,19,11,6,2014,4
134,21,11,6,2014,4
135,02,12,6,2014,5
136,02,12,6,2014,5
137,17,6,6,2014,6
138,19,11,6,2014,4
139,12,12,6,2014,5
140,13,7,6,2014,7
141,19,11,6,2014,4
142,15,12,6,2014,5
143,07,12,6,2014,5
144,13,12,6,2014,5
145,08,4,6,2014,4
146,15,12,6,2014,5
147,00,13,6,2014,6
148,20,12,6,2014,5
149,12,9,6,2014,2
150,11,13,6,2014,6
151,16,8,6,2014,1
152,08,13,6,2014,6
153,10,14,6,2014,7
154,19,14,6,2014,7
155,09,13,6,2014,6
156,15,14,6,2014,7
157,08,15,6,2014,1
158,08,15,6,2014,1
159,10,1,6,2014,1
160,12,15,6,2014,1
161,16,14,6,2014,7
162,22,14,6,2014,7
163,22,14,6,2014,7
164,15,15,6,2014,1
165,15,15,6,2014,1
166,11,8,6,2014,1
167,19,10,5,2014,7
168,16,14,6,2014,7
169,12,15,6,2014,1
170,16,12,6,2014,5
171,20,14,6,2014,7
172,00,16,6,2014,2
173,17,10,6,2014,3
174,09,13,6,2014,6
175,20,15,6,2014,1
176,19,4,6,2014,4
177,20,15,6,2014,1
178,18,15,6,2014,1
179,20,12,6,2014,5
180,18,13,6,2014,6
181,20,11,6,2014,4
182,17,13,6,2014,6
183,17,13,6,2014,6
184,12,16,6,2014,2
185,14,8,6,2014,1
186,15,17,6,2014,3
187,18,11,6,2014,4
188,07,17,6,2014,3
189,19,16,6,2014,2
190,11,14,6,2014,7
191,09,18,6,2014,4
192,17,17,6,2014,3
193,16,17,6,2014,3
194,17,13,6,2014,6
195,21,17,6,2014,3
196,08,18,6,2014,4
197,11,18,6,2014,4
198,19,18,6,2014,4
199,17,19,6,2014,5
200,17,19,8,2014,3
201,17,19,8,2014,3
202,06,20,8,2014,4
203,11,13,8,2014,4
204,17,15,8,2014,6
205,23,14,8,2014,5
206,23,14,8,2014,5
207,14,14,8,2014,5
208,15,6,8,2014,4
209,16,20,8,2014,4
210,11,7,8,2014,5
211,08,20,8,2014,4
212,18,20,8,2014,4
213,00,22,8,2014,6
214,09,1,8,2014,6
215,10,21,8,2014,5
216,16,17,8,2014,1
217,19,15,8,2014,6
218,01,23,8,2014,7
219,07,23,8,2014,7
220,13,23,8,2014,7
221,12,19,8,2014,3
222,20,23,8,2014,7
223,21,22,8,2014,6
224,15,24,8,2014,1
