event_id,make,model,bike_type,colour,speed,cost,status
800000,SUPERCYCLE     ,,MT,ONG   ,10,,STOLEN
800001,ROCKY MOUNTAIN ,TRAILHEAD      ,MT,BLK   ,1,,RECOVERED
800002,MONGOOSE       ,,MT,BLU   ,18,200,STOLEN
800003,SCOTT          ,,OT,WHI   ,24,1600,STOLEN
800004,RALEIGH        ,,OT,BLU   ,18,650,STOLEN
800005,OTHER          ,,MT,GRY   ,0,300,STOLEN
800006,KHS            ,URBAN SOUL     ,RG,BLK   ,1,700,STOLEN
800007,SUPERCYCLE     ,UNKNOWN        ,OT,BLKBLU,21,250,STOLEN
800008,RALEIGH        ,,RG,BRN   ,3,500,STOLEN
800009,NORCO          ,INDIE 1        ,OT,GRY   ,27,1200,STOLEN
800010,NORCO          ,OLYMPIA        ,OT,GRY   ,21,500,STOLEN
800011,SPECIALIZED    ,SECTEUR        ,RC,REDWHI,12,1200,STOLEN
800012,OTHER          ,JAGERMEISTER   ,TO,BLKRED,0,1200,STOLEN
800013,MONGOOSE       ,UNKNOWN        ,MT,BLU   ,12,80,STOLEN
800014,NEXT           ,POWER CLIMBER  ,MT,BLK   ,21,,STOLEN
800015,NEXT           ,POWER CLIMBER  ,MT,RED   ,21,120,RECOVERED
800016,EBIKE          ,,EL,WHI   ,3,900,STOLEN
800017,FUJI           ,FEATHER        ,MT,BLK   ,1,800,STOLEN
800018,TREK           ,,MT,BLUGRN,21,200,STOLEN
800019,"KONA
          ",,TO,,18,,STOLEN
800020,FORTRESS       ,1700,SC,DBL   ,1,700,STOLEN
800021,FELT           ,,OT,,18,250,STOLEN
800022,OPUS           ,CLASSICO       ,OT,BLK   ,7,675,STOLEN
800023,OTHER          ,,RG,GRY   ,21,1500,STOLEN
800024,SPECIALIZED    ,,MT,BLK   ,1,1500,STOLEN
800025,OTHER          ,LLBEAN         ,RG,BLU   ,20,450,STOLEN
800026,CCM            ,ORION          ,OT,BLKBLU,21,305,STOLEN
800027,JAMIS          ,HYBRID         ,MT,GRY   ,30,1000,STOLEN
800028,OTHER          ,BMX VERDE EON  ,BM,BLK   ,0,760,STOLEN
800029,THIN BLUE LINE ,CYCLONE        ,MT,BRN   ,24,400,STOLEN
800030,TREK           ,7100WSD        ,OT,WHI   ,21,500,STOLEN
800031,SUPERCYCLE     ,,MT,RED   ,18,200,STOLEN
800032,LI             ,VALETTA        ,EL,BLK   ,1,1600,STOLEN
800033,SUPERCYCLE     ,,MT,BLK   ,12,,STOLEN
800034,DEVINCI        ,DUBIN          ,MT,BLKGRY,27,859.98,STOLEN
800035,GIANT          ,ESCAPE CITY    ,MT,PLEGRY,8,579.99,STOLEN
800036,OTHER          ,,MT,BLK   ,12,20,STOLEN
800037,TREK           ,UNKNOWN        ,OT,BLKRED,21,700,STOLEN
800038,GT             ,RUKUS          ,MT,GRY   ,9,1800,STOLEN
800039,JAMIS          ,DURANGO        ,MT,SIL   ,24,800,STOLEN
800040,OTHER          ,FUGITIVE       ,MT,GRY   ,21,189,STOLEN
800041,OTHER          ,ECO STAR       ,OT,BLU   ,1,700,STOLEN
800042,GIANT          ,ESCAPE         ,OT,SIL   ,24,600,STOLEN
800043,GIANT          ,FCR3           ,OT,,8,,STOLEN
800044,OPUS           ,LIBRETTO       ,RC,GRNBRN,1,675,RECOVERED
800045,ELECTRA        ,RAT ROD        ,TO,BLK   ,0,262.49,STOLEN
800046,NORCO          ,CITYGLAD       ,RG,DGR   ,7,632,STOLEN
