time_id,hour,day,month,year,day_of_week
1,1,24,3,2014,2
2,16,27,9,2014,7
3,6,24,3,2014,2
4,15,24,3,2014,2
5,2,3,5,2014,7
6,15,26,3,2014,4
7,0,1,1,2014,4
8,5,27,3,2014,5
9,7,16,2,2014,1
10,14,26,3,2014,4
11,0,17,2,2014,2
12,21,19,4,2014,7
13,3,17,2,2014,2
14,13,19,4,2014,7
15,9,8,4,2014,3
16,2,19,4,2014,7
17,13,17,4,2014,5
18,19,26,3,2014,4
19,3,24,4,2014,5
20,5,9,4,2014,4
21,9,24,4,2014,5
22,19,9,4,2014,4
23,18,24,4,2014,5
24,4,3,5,2014,7
25,2,11,5,2014,1
26,0,11,5,2014,1
27,1,16,5,2014,6
28,9,17,5,2014,7
29,16,16,5,2014,6
30,18,18,5,2014,1
31,20,24,5,2014,7
32,3,30,3,2014,1
33,14,5,4,2014,7
34,2,12,4,2014,7
35,13,12,4,2014,7
36,13,15,4,2014,3
37,21,15,4,2014,3
38,0,4,5,2014,1
39,4,6,5,2014,3
40,23,6,5,2014,3
41,13,7,5,2014,4
42,0,23,5,2014,6
43,20,23,5,2014,6
44,20,25,9,2014,5
45,3,31,5,2014,7
46,15,5,4,2014,7
47,16,11,10,2013,6
48,20,30,6,2014,2
49,10,5,7,2014,7
50,14,20,3,2014,5
51,22,30,8,2013,6
52,22,5,3,2014,4
53,12,5,3,2014,4
54,16,29,5,2014,5
55,20,4,7,2014,6
56,8,24,6,2014,3
57,9,16,10,2014,5
58,1,4,4,2014,6
59,20,22,3,2014,7
60,22,4,4,2014,6
61,9,14,4,2014,2
62,13,20,4,2014,1
63,21,20,4,2014,1
64,22,20,4,2014,1
65,13,22,4,2014,3
66,14,22,4,2014,3
67,17,22,4,2014,3
68,12,28,4,2014,2
69,4,28,4,2014,2
70,17,28,4,2014,2
71,16,5,5,2014,2
72,10,5,5,2014,2
73,14,17,6,2014,3
74,7,27,6,2014,6
75,14,27,6,2014,6
76,12,3,5,2014,7
77,8,17,4,2014,5
78,19,27,6,2014,6
79,0,27,7,2014,1
80,0,17,1,2014,6
81,12,15,1,2014,4
82,2,27,2,2014,5
83,12,27,2,2014,5
84,4,15,2,2014,7
85,14,9,3,2014,1
86,0,8,3,2014,7
87,14,8,4,2014,3
88,18,17,4,2014,5
89,11,24,4,2014,5
90,1,25,4,2014,6
91,13,25,4,2014,6
92,1,3,5,2014,7
93,0,3,5,2014,7
94,0,15,5,2014,5
95,23,15,5,2014,5
96,19,29,5,2014,5
97,20,4,6,2014,4
98,17,21,3,2014,6
99,18,6,4,2014,1
100,18,5,3,2014,4
101,13,9,4,2014,4
102,15,9,4,2014,4
103,13,10,4,2014,5
104,2,18,4,2014,6
105,16,18,4,2014,6
106,10,18,4,2014,6
107,18,18,4,2014,6
108,18,26,4,2014,7
109,20,26,4,2014,7
110,16,26,4,2014,7
111,13,2,5,2014,6
112,14,2,5,2014,6
113,4,27,3,2014,5
114,12,2,6,2014,2
115,19,3,6,2014,3
116,9,1,6,2010,3
117,5,18,1,2014,7
118,18,11,6,2014,4
119,15,16,6,2014,2
120,16,17,6,2014,3
121,23,15,1,2014,4
122,15,3,5,2014,7
123,0,16,5,2014,6
124,2,16,5,2014,6
125,11,16,5,2014,6
126,22,16,5,2014,6
127,0,17,5,2014,7
128,7,1,4,2014,3
129,22,8,4,2014,3
130,15,24,4,2014,5
131,20,24,4,2014,5
132,15,25,4,2014,6
133,13,8,1,2014,4
134,9,15,1,2014,4
135,3,8,3,2014,7
136,16,1,2,2014,7
