division,address,area,shapeLeng,shapeArea
D11,2054 Davenport Rd,18.65186473,20407.68933,18679508.75
D12,200 Trethewey Dr,24.73460211,23875.50886,24771165.6
D13,1435 Eglinton Av W,18.56685099,17789.19016,18594759.86
D14,350 Dovercourt Rd,14.21666876,21205.74261,14238076.71
D22,3699 Bloor St W,67.92699617,52752.68065,68025154.26
D23,5230 Finch Av W,57.53308874,39162.68107,57616092.78
D31,40 Norfinch Dr,42.57854261,32091.10443,42641462.6
D32,30 Ellerslie Av,60.93489132,31522.85855,61027626.33
D33,50 Upjohn Rd,52.68287698,32571.71868,52765282.94
D41,2222 Eglinton Av E,44.41995528,41375.77048,44490914.65
D42,242 Milner Av E,84.44168921,43182.85398,84579700.53
D43,4331 Lawrence Av E,59.08314861,36901.77087,59180509.63
D51,51 Parliament St,8.594162674,18287.60954,8607343.858
D52,255 Dundas St W,9.189616496,25900.76051,9203581.056
D53,75 Eglinton Av W,31.22993361,27044.7974,31277796.75
D54,41 Cranfield Rd,20.20692396,22014.70544,20238533.83
D55,101 Coxwell Av,20.29831248,50220.74207,20329949.37
