X,Y,Index_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood,ObjectId
-8858870.75582828,5421758.15113104,6653545,1244509,2011,2011/06/03 04:00:00+00,750,7,62 RACINE DR,,,Collector,Etobicoke York,1,23,43.717045,-79.58059,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,1,West Humber-Clairville (1),1
-8858870.75582828,5421758.15113104,6653546,1244509,2011,2011/06/03 04:00:00+00,750,7,62 RACINE DR,,,Collector,Etobicoke York,1,23,43.717045,-79.58059,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,30 to 34,Major,,East,"Automobile, Station Wagon",Going Ahead,Lost control,Inattentive,,,,,,,,,Yes,,Yes,,,Yes,,,,,,1,West Humber-Clairville (1),2
-8858870.75582828,5421758.15113104,6653547,1244509,2011,2011/06/03 04:00:00+00,750,7,62 RACINE DR,,,Collector,Etobicoke York,1,23,43.717045,-79.58059,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Passenger,40 to 44,Minor,,,Other,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,1,West Humber-Clairville (1),3
-8858870.75582828,5421758.15113104,6653548,1244509,2011,2011/06/03 04:00:00+00,750,7,62 RACINE DR,,,Collector,Etobicoke York,1,23,43.717045,-79.58059,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,1,West Humber-Clairville (1),4
-8858870.75582828,5421758.15113104,6653549,1244509,2011,2011/06/03 04:00:00+00,750,7,62 RACINE DR,,,Collector,Etobicoke York,1,23,43.717045,-79.58059,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Truck Driver,40 to 44,Minor,,West,Truck - Open,Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,Yes,,,Yes,,,,,,1,West Humber-Clairville (1),5
-8858870.75582828,5421758.15113104,6653550,1244509,2011,2011/06/03 04:00:00+00,750,7,62 RACINE DR,,,Collector,Etobicoke York,1,23,43.717045,-79.58059,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,1,West Humber-Clairville (1),6
-8847037.49395695,5417893.06708153,6805179,1251261,2011,2011/07/20 04:00:00+00,1130,11,KEELE ST,YORE RD,,Major Arterial,Etobicoke York,5,12,43.691945,-79.47429,Intersection,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Passenger,45 to 49,Major,,,Other,,,,,,,,,,,,,,Yes,,,Yes,,,,,,112,Beechborough-Greenbrook (112),7
-8847037.49395695,5417893.06708153,6805180,1251261,2011,2011/07/20 04:00:00+00,1130,11,KEELE ST,YORE RD,,Major Arterial,Etobicoke York,5,12,43.691945,-79.47429,Intersection,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,,,Yes,,,Yes,,,,,,112,Beechborough-Greenbrook (112),8
-8847037.49395695,5417893.06708153,6805181,1251261,2011,2011/07/20 04:00:00+00,1130,11,KEELE ST,YORE RD,,Major Arterial,Etobicoke York,5,12,43.691945,-79.47429,Intersection,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Truck Driver,25 to 29,Minor,,East,Truck - Open,Turning Left,Lost control,Inattentive,,,,,,,,,,,Yes,,,Yes,,,,,,112,Beechborough-Greenbrook (112),9
-8847037.49395695,5417893.06708153,6805182,1251261,2011,2011/07/20 04:00:00+00,1130,11,KEELE ST,YORE RD,,Major Arterial,Etobicoke York,5,12,43.691945,-79.47429,Intersection,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,,,,Other,,,,,,,,,,,,,,Yes,,,Yes,,,,,,112,Beechborough-Greenbrook (112),10
-8847037.49395695,5417893.06708153,6805183,1251261,2011,2011/07/20 04:00:00+00,1130,11,KEELE ST,YORE RD,,Major Arterial,Etobicoke York,5,12,43.691945,-79.47429,Intersection,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,,,,Other,,,,,,,,,,,,,,Yes,,,Yes,,,,,,112,Beechborough-Greenbrook (112),11
-8847037.49395695,5417893.06708153,6805184,1251261,2011,2011/07/20 04:00:00+00,1130,11,KEELE ST,YORE RD,,Major Arterial,Etobicoke York,5,12,43.691945,-79.47429,Intersection,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,,,,Other,,,,,,,,,,,,,,Yes,,,Yes,,,,,,112,Beechborough-Greenbrook (112),12
