X,Y,Index_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood,ObjectId
-8830573.34126863,5427258.29184561,3383485,891027,2006,2006/02/11 05:00:00+00,1804,18,UNDERHILL DR,CASSANDRA BLVD,,Collector,North York,16,33,43.752745,-79.32639,Intersection,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,65 to 69,None,,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Inattentive,,,,,,,,Yes,Yes,,,,,,,,,,,45,Parkwoods-Donalda (45),1
-8830573.34126863,5427258.29184561,3383486,891027,2006,2006/02/11 05:00:00+00,1804,18,UNDERHILL DR,CASSANDRA BLVD,,Collector,North York,16,33,43.752745,-79.32639,Intersection,At Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,,South,Bicycle,Going Ahead,,,,,,Motorist turned left across cyclists path.,,,,Yes,Yes,,,,,,,,,,,45,Parkwoods-Donalda (45),2
-8815044.27230297,5430017.30044214,3390109,893580,2006,2006/02/27 05:00:00+00,1955,19,MORNINGSIDE AVE,KINGSTON RD,,Major Arterial,Scarborough,,43,43.770645,-79.18689,Intersection,,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,Yes,,,,Yes,,,,Yes,,,,136,West Hill (136),3
-8815044.27230297,5430017.30044214,3390110,893580,2006,2006/02/27 05:00:00+00,1955,19,MORNINGSIDE AVE,KINGSTON RD,,Major Arterial,Scarborough,,43,43.770645,-79.18689,Intersection,,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,,South,Municipal Transit Bus (TTC),Turning Right,Failed to Yield Right of Way,Inattentive,,,,,,,,Yes,,,,Yes,,,,Yes,,,,136,West Hill (136),4
-8815044.27230297,5430017.30044214,3390111,893580,2006,2006/02/27 05:00:00+00,1955,19,MORNINGSIDE AVE,KINGSTON RD,,Major Arterial,Scarborough,,43,43.770645,-79.18689,Intersection,,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,,West,Bicycle,Going Ahead,,,,,,Motorist turning right on green or amber at signalized intersection strikes cyclist.,Driving Properly,Normal,,Yes,,,,Yes,,,,Yes,,,,136,West Hill (136),5
-8833512.17582557,5417385.02895813,3391770,894195,2006,2006/03/01 05:00:00+00,1110,11,COSBURN AVE,LOGAN AVE,,Minor Arterial,Toronto and East York,14,54,43.688645,-79.35279,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,,West,"Automobile, Station Wagon",Parked,Other,Inattentive,,,,,,,,Yes,Yes,,,,,,,,,,,57,Broadview North (57),6
-8833512.17582557,5417385.02895813,3391771,894195,2006,2006/03/01 05:00:00+00,1110,11,COSBURN AVE,LOGAN AVE,,Minor Arterial,Toronto and East York,14,54,43.688645,-79.35279,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,80 to 84,Major,,West,Bicycle,Going Ahead,,,,,,Cyclist struck opened vehicle door,Driving Properly,Normal,,Yes,Yes,,,,,,,,,,,57,Broadview North (57),7
-8837085.53148003,5412752.3950356,3406944,899910,2006,2006/04/06 04:00:00+00,1540,15,BAY ST,GERRARD ST W,,Major Arterial,Toronto and East York,11,52,43.658545,-79.38489,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,,,,,,,,Yes,Yes,,,,,,,,,,,76,Bay Street Corridor (76),8
-8837085.53148003,5412752.3950356,3406945,899910,2006,2006/04/06 04:00:00+00,1540,15,BAY ST,GERRARD ST W,,Major Arterial,Toronto and East York,11,52,43.658545,-79.38489,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,,South,Bicycle,Going Ahead,,,,,,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Other,Inattentive,,Yes,Yes,,,,,,,,,,,76,Bay Street Corridor (76),9
-8840080.02578237,5421142.09306588,3402767,898340,2006,2006/04/20 04:00:00+00,843,8,AVENUE RD,CORTLEIGH BLVD,,Major Arterial,North York,8,53,43.713045,-79.41179,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,Yes,,,Yes,,,,,,,,,103,Lawrence Park South (103),10
-8840080.02578237,5421142.09306588,3402768,898340,2006,2006/04/20 04:00:00+00,843,8,AVENUE RD,CORTLEIGH BLVD,,Major Arterial,North York,8,53,43.713045,-79.41179,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Truck Driver,50 to 54,None,,South,Truck - Open,Turning Right,Improper Turn,Normal,,,,,,,,Yes,,,Yes,,,,,,,,,103,Lawrence Park South (103),11
-8840080.02578237,5421142.09306588,3402769,898340,2006,2006/04/20 04:00:00+00,843,8,AVENUE RD,CORTLEIGH BLVD,,Major Arterial,North York,8,53,43.713045,-79.41179,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Cyclist,45 to 49,Fatal,,South,Bicycle,Going Ahead,,,,,,"Motorist turns right at non-signal Inter.(stop, yield, no cont.,and dwy) and strikes cyclist.",Driving Properly,Normal,,Yes,,,Yes,,,,,,,,,103,Lawrence Park South (103),12
-8848896.5294532,5428907.4323785,3532636,898350,2006,2006/04/20 04:00:00+00,2053,20,KEELE ST,FINCH AVE W,,Major Arterial,Etobicoke York,,31,43.763445,-79.49099,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Cyclist Collisions,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,Yes,,,Yes,,,,,,,,,27,York University Heights (27),13
-8848896.5294532,5428907.4323785,3532637,898350,2006,2006/04/20 04:00:00+00,2053,20,KEELE ST,FINCH AVE W,,Major Arterial,Etobicoke York,,31,43.763445,-79.49099,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Cyclist Collisions,Cyclist,15 to 19,Fatal,,North,Bicycle,Making U Turn,,,,,,Cyclist makes u-turn in-front of driver.,Improper Turn,Had Been Drinking,,Yes,,,Yes,,,,,,,,,27,York University Heights (27),14
