X,Y,Index_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood,ObjectId
-8819263.28100403,5441138.77264503,3363207,882024,2006,2006/01/07 05:00:00+00,2325,23,STEELES AVE E,NINTH LINE ST,,Minor Arterial,Scarborough,25,42,43.842745,-79.22479,Mid-Block,,No Control,Clear,Dark,Wet,Fatal,Approaching,Driver,50 to 54,Fatal,,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,,,,,,,,,Yes,,,,,,,,,,,131,Rouge (131),1
-8856366.06728543,5422435.86250372,3363869,882497,2006,2006/01/08 05:00:00+00,1828,18,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,23,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,10 to 14,Fatal,,East,Other,,,,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Normal,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale (5),2
-8825664.15172465,5429832.31315385,3363416,882174,2006,2006/01/09 05:00:00+00,1435,14,KENNEDY RD,GLAMORGAN AVE,,Major Arterial,Scarborough,21,41,43.769445,-79.28229,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,,East,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown,,,,Yes,,Yes,,,,,,,,,,,126,Dorset Park (126),3
-8828525.06263803,5422528.2815471,3363879,882501,2006,2006/01/11 05:00:00+00,1120,11,BARTLEY DR,JINNAH CRT,,Collector,North York,16,54,43.722045,-79.30799,Intersection,,No Control,Clear,Daylight,Wet,Fatal,SMV Other,Passenger,15 to 19,Fatal,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,43,Victoria Village (43),4
-8824918.31113633,5431358.56929695,3371161,886230,2006,2006/01/21 05:00:00+00,1829,18,MIDLAND AVE,GOODLAND GT,,Major Arterial,Scarborough,,42,43.779345,-79.27559,Intersection,At Intersection,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,,West,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,Yes,Yes,,,,128,Agincourt South-Malvern West (128),5
-8827044.51341048,5426117.93721406,3367753,884560,2006,2006/01/24 05:00:00+00,145,1,WARDEN AVE,LAWRENCE AVE E,,Major Arterial,Scarborough,21,41,43.745345,-79.29469,Intersection,,Traffic Signal,Clear,Dawn,Dry,Fatal,Angle,Driver,35 to 39,Fatal,,South,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Unknown,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,119,Wexford/Maryvale (119),6
-8813240.89655212,5435075.05765609,3368259,884756,2006,2006/01/24 05:00:00+00,754,7,DEAN PARK RD,BRAYMORE BLVD,,Collector,Scarborough,25,42,43.803445,-79.17069,Intersection,At Intersection,Stop Sign,Clear,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,,North,Other,,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,Yes,,Yes,,,,131,Rouge (131),7
-8836929.68419292,5416676.90123869,3368159,884714,2006,2006/01/24 05:00:00+00,2220,22,MOUNT PLEASANT RD,WHITEHALL RD,,Major Arterial,Toronto and East York,11,53,43.684045,-79.38349,Intersection,At Intersection,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Driver,45 to 49,Fatal,,South,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,98,Rosedale-Moore Park (98),8
-8852614.6004457,5406553.53306712,3370087,885650,2006,2006/01/29 05:00:00+00,2048,20,F G GARDINER XY W  W,KIPLING AVE,,,Etobicoke York,3,22,43.618245,-79.52439,Mid-Block,,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,15 to 19,Fatal,,South,Other,,,,Pedestrian hit at mid-block,Running onto Roadway,Unknown,,,,Yes,,Yes,,,,,,,,,,,17,Mimico (includes Humber Bay Shores) (17),9
-8832610.48795014,5417184.90040215,3376949,888497,2006,2006/02/15 05:00:00+00,935,9,WESTWOOD AVE,WOODYCREST AVE,,Local,Toronto and East York,14,54,43.687345,-79.34469,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,,East,Other,,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,,,,,,,,Yes,,,,59,Danforth East York (59),10
-8818728.94744822,5435800.02467491,3378690,889218,2006,2006/02/20 05:00:00+00,1840,18,NEILSON RD,MCLEVIN AVE,,Minor Arterial,Scarborough,,42,43.808145,-79.21999,Mid-Block,,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,,West,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,,,,132,Malvern (132),11
-8859093.39480986,5421773.55310957,3382084,890506,2006,2006/02/27 05:00:00+00,501,5,MARTIN GROVE RD,RACINE RD,,Major Arterial,Etobicoke York,1,23,43.717145,-79.58259,Mid-Block,,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Fatal,,Unknown,Other,,,,Pedestrian hit at mid-block,Pushing/Working on Vehicle,Unknown,,,,Yes,,Yes,,,,,,Yes,Yes,,,,1,West Humber-Clairville (1),12
