X,Y,Index_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood,ObjectId
-8839463.64976185,5411882.61160318,3366651,884090,2006,2006/01/02 05:00:00+00,705,7,BATHURST ST,DUNDAS ST W,60 NORTH OF,Major Arterial,Toronto and East York,11,14,43.652892,-79.406253,Mid-Block,,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,,South,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,Inattentive,,,,,,,Yes,,Yes,,,,,,,,,,,78,Kensington-Chinatown (78),1
-8839463.64976185,5411882.61160318,3366652,884090,2006,2006/01/02 05:00:00+00,705,7,BATHURST ST,DUNDAS ST W,60 NORTH OF,Major Arterial,Toronto and East York,11,14,43.652892,-79.406253,Mid-Block,,No Control,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,45 to 49,Major,,West,,,,,Pedestrian hit at mid-block,Crossing without right of way,Inattentive,,,,Yes,,Yes,,,,,,,,,,,78,Kensington-Chinatown (78),2
-8842506.79068167,5412229.25349189,3370333,885782,2006,2006/01/04 05:00:00+00,1940,19,DUFFERIN ST,SYLVAN AVE,,Major Arterial,Toronto and East York,9,14,43.655145,-79.43359,Mid-Block,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,Yes,,Yes,,,,,,,,,,,83,Dufferin Grove (83),3
-8842506.79068167,5412229.25349189,3370334,885782,2006,2006/01/04 05:00:00+00,1940,19,DUFFERIN ST,SYLVAN AVE,,Major Arterial,Toronto and East York,9,14,43.655145,-79.43359,Mid-Block,At Intersection,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,75 to 79,Major,,East,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,,,,Yes,,Yes,,,,,,,,,,,83,Dufferin Grove (83),4
-8832963.14809698,5431005.65791909,3363337,882079,2006,2006/01/06 05:00:00+00,2210,22,DON MILLS RD,LEITH HILL RD,,Major Arterial,North York,17,33,43.777056,-79.347858,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,Yes,,Yes,,,,,,,,,,,47,Don Valley Village (47),5
-8832963.14809698,5431005.65791909,3363338,882079,2006,2006/01/06 05:00:00+00,2210,22,DON MILLS RD,LEITH HILL RD,,Major Arterial,North York,17,33,43.777056,-79.347858,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,,West,,,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Inattentive,,,,Yes,,Yes,,,,,,,,,,,47,Don Valley Village (47),6
-8856366.06728543,5422435.86250372,3363864,882497,2006,2006/01/08 05:00:00+00,1828,18,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,23,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,20 to 24,None,,,Other,,,,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale (5),7
-8856366.06728543,5422435.86250372,3363865,882497,2006,2006/01/08 05:00:00+00,1828,18,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,23,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,20 to 24,None,,,Other,,,,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale (5),8
-8856366.06728543,5422435.86250372,3363866,882497,2006,2006/01/08 05:00:00+00,1828,18,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,23,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Passenger,10 to 14,None,,,Other,,,,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale (5),9
-8856366.06728543,5422435.86250372,3363867,882497,2006,2006/01/08 05:00:00+00,1828,18,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,23,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,,,,Other,,,,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale (5),10
-8856366.06728543,5422435.86250372,3363868,882497,2006,2006/01/08 05:00:00+00,1828,18,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,23,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,20 to 24,None,,North,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Normal,,,,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale (5),11
-8856366.06728543,5422435.86250372,3363869,882497,2006,2006/01/08 05:00:00+00,1828,18,ISLINGTON AVE,GOLFDOWN DR,,Major Arterial,Etobicoke York,1,23,43.721445,-79.55809,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,10 to 14,Fatal,,East,Other,,,,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Normal,,,,Yes,,Yes,,,,,Yes,,Yes,,,,5,Elms-Old Rexdale (5),12
-8825664.15172465,5429832.31315385,3363414,882174,2006,2006/01/09 05:00:00+00,1435,14,KENNEDY RD,GLAMORGAN AVE,,Major Arterial,Scarborough,21,41,43.769445,-79.28229,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,,,,Other,,,,,,,,,,Yes,,Yes,,,,,,,,,,,126,Dorset Park (126),13
-8825664.15172465,5429832.31315385,3363415,882174,2006,2006/01/09 05:00:00+00,1435,14,KENNEDY RD,GLAMORGAN AVE,,Major Arterial,Scarborough,21,41,43.769445,-79.28229,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,50 to 54,None,,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,Yes,,Yes,,,,,,,,,,,126,Dorset Park (126),14
-8825664.15172465,5429832.31315385,3363416,882174,2006,2006/01/09 05:00:00+00,1435,14,KENNEDY RD,GLAMORGAN AVE,,Major Arterial,Scarborough,21,41,43.769445,-79.28229,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,,East,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown,,,,Yes,,Yes,,,,,,,,,,,126,Dorset Park (126),15
-8822922.68662488,5436057.94159192,3370695,886039,2006,2006/01/09 05:00:00+00,1820,18,FINCH AVE E,MIDDLEFIELD RD,,Major Arterial,Scarborough,23,42,43.809817,-79.257663,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,129,Agincourt North (129),16
-8822922.68662488,5436057.94159192,3370696,886039,2006,2006/01/09 05:00:00+00,1820,18,FINCH AVE E,MIDDLEFIELD RD,,Major Arterial,Scarborough,23,42,43.809817,-79.257663,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,None,,East,Municipal Transit Bus (TTC),Turning Right,Driving Properly,Normal,,,,,,,Yes,,,,,Yes,,,,,,,,129,Agincourt North (129),17
-8822922.68662488,5436057.94159192,3370697,886039,2006,2006/01/09 05:00:00+00,1820,18,FINCH AVE E,MIDDLEFIELD RD,,Major Arterial,Scarborough,23,42,43.809817,-79.257663,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,,East,,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing without right of way,Inattentive,,,,Yes,,,,,Yes,,,,,,,,129,Agincourt North (129),18
-8854340.05255299,5425455.36346793,3364469,882912,2006,2006/01/14 05:00:00+00,904,9,WESTON RD,CORONADO CRT,,Major Arterial,Etobicoke York,7,31,43.741045,-79.53989,Mid-Block,,Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,Other,,,,,,,,,,Yes,,Yes,,,,,,Yes,Yes,,,,22,Humbermede (22),19
-8854340.05255299,5425455.36346793,3364470,882912,2006,2006/01/14 05:00:00+00,904,9,WESTON RD,CORONADO CRT,,Major Arterial,Etobicoke York,7,31,43.741045,-79.53989,Mid-Block,,Pedestrian Crossover,Strong wind,Daylight,Ice,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,None,,South,"Automobile, Station Wagon",Slowing or Stopping,Speed too Fast For Condition,Normal,,,,,,,Yes,,Yes,,,,,,Yes,Yes,,,,22,Humbermede (22),20
