,timeID,hour,day,month,year,dayofweek
0,100000,1,24,3,2014,2
1,100001,16,27,9,2014,7
2,100002,6,24,3,2014,2
3,100003,15,24,3,2014,2
4,100004,2,3,5,2014,7
5,100005,15,26,3,2014,4
6,100008,0,1,1,2014,4
7,100009,5,27,3,2014,5
8,100010,7,16,2,2014,1
9,100011,14,26,3,2014,4
10,100012,0,17,2,2014,2
11,100013,21,19,4,2014,7
12,100014,3,17,2,2014,2
13,100015,13,19,4,2014,7
14,100016,9,8,4,2014,3
15,100017,2,19,4,2014,7
16,100018,13,17,4,2014,5
17,100019,19,26,3,2014,4
18,100020,3,24,4,2014,5
19,100021,5,9,4,2014,4
20,100022,9,24,4,2014,5
21,100023,19,9,4,2014,4
22,100024,18,24,4,2014,5
23,100025,4,3,5,2014,7
24,100026,2,11,5,2014,1
25,100027,0,11,5,2014,1
26,100028,1,16,5,2014,6
27,100031,9,17,5,2014,7
28,100032,16,16,5,2014,6
29,100033,18,18,5,2014,1
30,100034,20,24,5,2014,7
31,100035,3,30,3,2014,1
32,100040,14,5,4,2014,7
33,100041,2,12,4,2014,7
34,100042,13,12,4,2014,7
35,100045,13,15,4,2014,3
36,100046,21,15,4,2014,3
37,100047,0,4,5,2014,1
38,100048,4,6,5,2014,3
39,100049,23,6,5,2014,3
40,100050,13,7,5,2014,4
41,100051,0,23,5,2014,6
42,100052,20,23,5,2014,6
43,100053,20,25,9,2014,5
44,100054,3,31,5,2014,7
45,100055,15,5,4,2014,7
46,100056,16,11,10,2013,6
47,100057,20,30,6,2014,2
48,100058,10,5,7,2014,7
49,100059,14,20,3,2014,5
50,100060,22,30,8,2013,6
51,100061,22,5,3,2014,4
52,100062,12,5,3,2014,4
53,100063,16,29,5,2014,5
54,100064,20,4,7,2014,6
55,100065,8,24,6,2014,3
56,100066,9,16,10,2014,5
57,100067,1,4,4,2014,6
58,100068,20,22,3,2014,7
59,100069,22,4,4,2014,6
60,100070,9,14,4,2014,2
61,100071,13,20,4,2014,1
62,100072,21,20,4,2014,1
63,100073,22,20,4,2014,1
64,100074,13,22,4,2014,3
65,100075,14,22,4,2014,3
66,100076,17,22,4,2014,3
67,100077,12,28,4,2014,2
68,100078,4,28,4,2014,2
69,100079,17,28,4,2014,2
70,100080,16,5,5,2014,2
71,100081,10,5,5,2014,2
72,100082,14,17,6,2014,3
73,100083,7,27,6,2014,6
74,100084,14,27,6,2014,6
75,100085,12,3,5,2014,7
76,100086,8,17,4,2014,5
77,100088,19,27,6,2014,6
78,100089,0,27,7,2014,1
79,100090,0,17,1,2014,6
80,100091,12,15,1,2014,4
81,100092,2,27,2,2014,5
82,100093,12,27,2,2014,5
83,100095,4,15,2,2014,7
84,100096,14,9,3,2014,1
85,100097,0,8,3,2014,7
86,100098,14,8,4,2014,3
87,100099,18,17,4,2014,5
88,100100,11,24,4,2014,5
89,100101,1,25,4,2014,6
90,100102,13,25,4,2014,6
91,100103,1,3,5,2014,7
92,100104,0,3,5,2014,7
93,100105,0,15,5,2014,5
94,100106,23,15,5,2014,5
95,100107,19,29,5,2014,5
96,100108,20,4,6,2014,4
97,100109,17,21,3,2014,6
98,100110,18,6,4,2014,1
99,100111,18,5,3,2014,4
100,100113,13,9,4,2014,4
101,100114,15,9,4,2014,4
102,100115,13,10,4,2014,5
103,100116,2,18,4,2014,6
104,100117,16,18,4,2014,6
105,100118,10,18,4,2014,6
106,100119,18,18,4,2014,6
107,100122,18,26,4,2014,7
108,100123,20,26,4,2014,7
109,100124,16,26,4,2014,7
110,100125,13,2,5,2014,6
111,100126,14,2,5,2014,6
112,100127,4,27,3,2014,5
113,100128,12,2,6,2014,2
114,100129,19,3,6,2014,3
115,100131,9,1,6,2010,3
116,100132,5,18,1,2014,7
117,100133,18,11,6,2014,4
118,100134,15,16,6,2014,2
119,100135,16,17,6,2014,3
120,100136,23,15,1,2014,4
121,100140,15,3,5,2014,7
122,100141,0,16,5,2014,6
123,100142,2,16,5,2014,6
124,100143,11,16,5,2014,6
125,100144,22,16,5,2014,6
126,100145,0,17,5,2014,7
127,100146,7,1,4,2014,3
128,100147,22,8,4,2014,3
129,100148,15,24,4,2014,5
130,100149,20,24,4,2014,5
131,100151,15,25,4,2014,6
132,100153,13,8,1,2014,4
133,100155,9,15,1,2014,4
134,100156,3,8,3,2014,7
135,100157,16,1,2,2014,7
136,100158,19,16,6,2014,2
137,100159,23,20,6,2014,6
138,100160,22,2,5,2014,6
139,100161,3,2,5,2014,6
140,100162,2,2,6,2014,2
141,100163,21,11,6,2014,4
142,100164,22,11,6,2014,4
143,100165,16,11,6,2014,4
144,100166,9,11,6,2014,4
145,100168,18,16,6,2014,2
146,100170,20,16,6,2014,2
147,100171,18,19,6,2014,5
148,100173,22,19,6,2014,5
149,100174,16,20,6,2014,6
150,100176,19,2,7,2014,4
151,100179,18,18,7,2014,6
152,100181,21,18,7,2014,6
153,100182,21,15,5,2014,5
154,100183,18,21,3,2014,6
155,100184,15,22,3,2014,7
156,100185,12,4,4,2014,6
157,100186,2,4,4,2014,6
158,100187,17,4,4,2014,6
159,100189,11,4,4,2014,6
