event_id,latitude,longitude,premise_type,hood_id,occurrence_time_id,reported_time_id,crime_id
191100,43.7396698,-79.5805969,,2,15357,,,
191101,43.7233276,-79.3022995,,120,15357,,,
191102,43.7035179,-79.3645859,,56,224,,,
191103,43.6629677,-79.3839874,,76,224,,,
191104,43.6581192,-79.3866119,,76,224,,,
191105,43.6868172,-79.2914963,,62,1128,,,
191106,43.6868172,-79.2914963,,62,1128,,,
191107,43.6534843,-79.4654922,,88,15465,,,
191108,43.7803612,-79.1331329,,131,15465,,,
191109,43.6666489,-79.3815613,,75,25,,,
191110,43.6651764,-79.3897018,,76,5544,,,
191111,43.6569405,-79.3690262,,73,5654,,,
191112,43.6677742,-79.3985672,,79,12627,,,
191113,43.6569328,-79.3860855,,76,651,,,
191114,43.6542053,-79.3655167,,73,13091,,,
191115,43.6542053,-79.3655167,,73,13091,,,
191116,43.6459312,-79.3793335,,76,13091,,,
191117,43.6405411,-79.4135666,,82,9884,,,
191118,43.6644707,-79.3092194,,63,9884,,,
191119,43.6644707,-79.3092194,,63,9884,,,
191120,43.6644707,-79.3092194,,63,9884,,,
191121,43.7278366,-79.4713745,,26,9884,,,
191122,43.8082275,-79.1884308,,131,2777,,,
191123,43.8082275,-79.1884308,,131,2777,,,
191124,43.6590424,-79.3823166,,75,2255,,,
191125,43.6495018,-79.3594437,,77,13133,,,
191126,43.6434555,-79.3768539,,77,13133,,,
191127,43.6446609,-79.4430695,,86,2257,,,
191128,43.6428566,-79.3816757,,77,912,,,
191129,43.662941,-79.3316269,,70,7245,,,
191130,43.6505089,-79.3812714,,76,7038,,,
191131,43.6600647,-79.3313522,,70,16251,,,
191132,43.7516098,-79.4569473,,34,16251,,,
191133,43.6674614,-79.4000397,,79,3841,,,
191134,43.6674614,-79.4000397,,79,3841,,,
191135,43.6611328,-79.493515,,89,1360,,,
191136,43.6644707,-79.3092194,,63,1360,,,
191137,43.6868172,-79.2914963,,62,12542,,,
191138,43.6868172,-79.2914963,,62,12542,,,
191139,43.6613159,-79.3833084,,75,12542,,,
191140,43.6777382,-79.3509521,,67,7067,,,
191141,43.6556587,-79.3839645,,76,7067,,,
191142,43.648468,-79.3778458,,76,749,,,
191143,43.7725029,-79.1410446,,133,749,,,
191144,43.7671585,-79.5149612,,24,9409,,,
191145,43.6869469,-79.2908936,,62,10165,,,
191146,43.6869469,-79.2908936,,62,10165,,,
191147,43.6036797,-79.5363693,,20,997,,,
191148,43.7077065,-79.4010391,,100,3543,,,
191149,43.7900009,-79.4235535,,36,3543,,,
191150,43.6418571,-79.5680084,,13,957,,,
191151,43.6418571,-79.5680084,,13,957,,,
191152,43.6556587,-79.3839645,,76,957,,,
191153,43.6508636,-79.5773087,,13,957,,,
191154,43.7208595,-79.5088272,,26,10142,,,
191155,43.6893959,-79.2962646,,62,6775,,,
191156,43.6613159,-79.3833084,,76,12020,,,
