X,Y,Index_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood,ObjectId
-8822213.24751005,5425855.9837657,3551024,884135,2006,2006/01/10 05:00:00+00,804,8,BRIMLEY RD,GULLY DR,,Major Arterial,Scarborough,21,43,43.743645,-79.25129,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,80 to 84,Minor,,North,"Automobile, Station Wagon",Going Ahead,Other,Medical or Physical Disability,,,,,,,,,Yes,,,,,,,,,,Yes,127,Bendale (127),1
-8822213.24751005,5425855.9837657,3551025,884135,2006,2006/01/10 05:00:00+00,804,8,BRIMLEY RD,GULLY DR,,Major Arterial,Scarborough,21,43,43.743645,-79.25129,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Approaching,Driver,55 to 59,Major,,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,,,,,,Yes,127,Bendale (127),2
-8847505.03581829,5420772.47796379,3392380,894423,2006,2006/03/22 05:00:00+00,1435,14,2423 KEELE ST,,,Major Arterial,Etobicoke York,5,12,43.710645,-79.47849,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Driver,50 to 54,None,,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,,,,,,Yes,29,Maple Leaf (29),3
-8847505.03581829,5420772.47796379,3392381,894423,2006,2006/03/22 05:00:00+00,1435,14,2423 KEELE ST,,,Major Arterial,Etobicoke York,5,12,43.710645,-79.47849,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Driver,70 to 74,Major,,South,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability,,,,,,,,,Yes,,,,,,,,,,Yes,29,Maple Leaf (29),4
-8847505.03581829,5420772.47796379,3392382,894423,2006,2006/03/22 05:00:00+00,1435,14,2423 KEELE ST,,,Major Arterial,Etobicoke York,5,12,43.710645,-79.47849,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Other,unknown,None,,,Other,Parked,,,,,,,,,,,Yes,,,,,,,,,,Yes,29,Maple Leaf (29),5
-8831619.74448209,5421142.09306588,3395993,895818,2006,2006/04/02 05:00:00+00,1717,17,DON MILLS RD,GATEWAY BLVD,,Major Arterial,North York,16,54,43.713045,-79.33579,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,55 to 59,Major,,South,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability,,,,,,,,,Yes,,,,,,,,,,Yes,44,Flemingdon Park (44),6
-8831619.74448209,5421142.09306588,3395994,895818,2006,2006/04/02 05:00:00+00,1717,17,DON MILLS RD,GATEWAY BLVD,,Major Arterial,North York,16,54,43.713045,-79.33579,Mid-Block,,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,None,,,Other,,,,,,,,,,,,Yes,,,,,,,,,,Yes,44,Flemingdon Park (44),7
-8820821.75387514,5433594.45116331,3418231,904107,2006,2006/05/03 04:00:00+00,1520,15,MARKHAM RD,SHEPPARD AVE E,,Major Arterial,Scarborough,23,42,43.793845,-79.23879,Intersection,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,40 to 44,Major,,North,"Automobile, Station Wagon",Going Ahead,Other,Medical or Physical Disability,,,,,,,,,Yes,,,,,,,,,,Yes,132,Malvern (132),8
-8820821.75387514,5433594.45116331,3418232,904107,2006,2006/05/03 04:00:00+00,1520,15,MARKHAM RD,SHEPPARD AVE E,,Major Arterial,Scarborough,23,42,43.793845,-79.23879,Intersection,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,None,,,Other,,,,,,,,,,,,Yes,,,,,,,,,,Yes,132,Malvern (132),9
-8839512.29637933,5425933.02812536,3410194,901141,2006,2006/05/06 04:00:00+00,1830,18,YONGE ST,WILSON AVE,,Major Arterial,North York,,32,43.744145,-79.40669,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,65 to 69,Minor,,,Other,,,,,,,,,,,,Yes,,,,,Yes,,,,,Yes,40,St.Andrew-Windfields (40),10
