hood_id,name,division,high_school,university,technical_degree,employment_rate
1,West Humber-Clairville,23,27.15,37.97,16.03,58.05
2,Mount Olive-Silverstone-Jamestown,23,27.82,30.23,13.74,50.6
3,Thistletown-Beaumond Heights,23,25.6,35.94,15.75,54.15
4,Rexdale-Kipling,23,28.14,34.14,17.1,56.15
5,Elms-Old Rexdale,23,32.27,27.71,17,54.8
6,Kingsview Village-The Westway,23,27.66,36.61,14.77,52.45
7,Willowridge-Martingrove-Richview,23,23.98,46,14.17,53.9
8,Humber Heights-Westmount,23,23.07,44.89,16.47,55.05
9,Edenbridge-Humber Valley,22,19.32,57.67,12.51,60.9
10,Princess-Rosethorn,22,16.03,66.05,10.28,59.7
11,Eringate-Centennial-West Deane,22,22.3,48.84,16.02,58.95
12,Markland Wood,22,19.54,56.85,14.34,56.55
13,Etobicoke West Mall,22,23.78,45.6,15.46,60.8
14,Islington-City Centre West,22,17.71,59.07,13.87,63.8
15,Kingsway South,22,12.16,73.52,9.19,58.9
16,Stonegate-Queensway,22,17.23,58.8,13.7,63.05
17,Mimico (includes Humber Bay Shores),22,17.12,57.1,16.24,66.7
18,New Toronto,22,21.74,46.81,17.48,61.05
19,Long Branch,22,22.71,47.02,17.47,65.55
20,Alderwood,22,25.89,38.26,18.32,62.5
21,Humber Summit,31,27.75,25.85,13.97,50.95
22,Humbermede,31,28.61,28.42,15.78,54.8
23,Pelmo Park-Humberlea,12,27.22,33.47,16.48,61.6
24,Black Creek,31,30,19.29,13.63,48.35
25,Glenfield-Jane Heights,31,28.99,17.76,14.71,49.1
26,Downsview-Roding-CFB,31,26.83,29.53,16.09,57
27,York University Heights,32,26.11,40.63,14.09,56.3
28,Rustic,12,30.4,21.42,16.14,48.2
29,Maple Leaf,12,25.72,35.44,12.97,56.55
30,Brookhaven-Amesbury,12,27.69,26.78,17.04,57.5
31,Yorkdale-Glen Park,32,25.49,35.35,13.22,55.45
32,Englemount-Lawrence,32,20.72,53.94,12.58,57.75
33,Clanton Park,32,18.76,57.86,13.35,63.85
34,Bathurst Manor,32,20.43,56.72,12.81,60.5
35,Westminster-Branson,32,19.32,57.1,14,56.65
36,Newtonbrook West,32,21.01,58.08,11.58,54.9
37,Willowdale West,32,15.56,67.89,9.59,52.7
38,Lansing-Westgate,32,14.51,70.5,9.43,62.7
39,Bedford Park-Nortown,32,15.03,68.74,8.41,60.65
40,St.Andrew-Windfields,33,15.23,68.97,8.81,56.65
41,Bridle Path-Sunnybrook-York Mills,53,13.42,76.52,4.56,54.05
42,Banbury-Don Mills,33,16.68,64.59,11.3,56.1
43,Victoria Village,54,22.41,42.86,17.37,53.65
44,Flemingdon Park,54,23.4,44.93,13.22,50.85
45,Parkwoods-Donalda,33,21.9,51.12,15.14,57.7
46,Pleasant View,33,20.72,52.24,13.07,53.35
47,Don Valley Village,33,17.79,61.29,12.39,55.4
48,Hillcrest Village,33,17.57,61.66,11.13,49.45
49,Bayview Woods-Steeles,33,16.2,64.18,10.83,51.7
50,Newtonbrook East,32,15.9,66.65,9.6,53.05
51,Willowdale East,32,13.74,72.91,8.37,56.25
52,Bayview Village,33,14.27,69.39,11.26,58.85
53,Henry Farm,33,15.88,66.15,11.02,58.6
54,Oakridge,54,24.6,42.93,13.97,48.95
55,Thorncliffe Park,53,21.63,50,11.15,49.05
56,Leaside-Bennington,53,12.46,72.67,8.91,63.9
57,Broadview North,54,19.09,52.89,14.18,61.35
58,Old East York,54,20.75,50,14.84,62.85
59,Danforth East York,54,17.42,54.72,13.56,62.5
60,Woodbine-Lumsden,54,21.8,50.34,15.29,65.55
61,Taylor-Massey,54,20.48,52.26,13.7,56.3
62,East End-Danforth,55,17.93,57.12,14.45,64.35
63,The Beaches,55,14.19,68.66,11.12,68.15
64,Woodbine Corridor,55,15.93,59.47,13.58,66.35
65,Greenwood-Coxwell,55,18.03,55.59,13.34,64.4
66,Danforth,54,16.4,58.22,11.24,64.1
67,Playter Estates-Danforth,54,13.66,68.03,11.02,67.8
68,North Riverdale,55,13.96,68.68,9.51,69.85
69,Blake-Jones,55,17.18,56.07,11.75,59.65
70,South Riverdale,55,16.23,57.67,12.46,66.8
71,Cabbagetown-South St. James Town,51,15.19,67.37,11.77,65.25
72,Regent Park,51,20.94,51.35,10.94,56.55
73,Moss Park,51,14.88,66.86,10.94,67.35
74,North St. James Town,51,18.81,58.01,13.1,60.15
75,Church-Yonge Corridor,51,13.42,74.36,9.25,68.45
76,Bay Street Corridor,52,16.43,77,4.56,56.45
77,Waterfront Communities-The Island,51,9.01,80.86,8.07,78.15
78,Kensington-Chinatown,14,20.38,56.81,8.99,57.65
79,University,14,13.85,73.12,6.98,65.45
80,Palmerston-Little Italy,14,14.36,65.74,9.2,69.2
81,Trinity-Bellwoods,14,17.79,55.83,9.45,65.25
82,Niagara,14,9.28,75.66,11.94,82.7
83,Dufferin Grove,14,16.26,55.13,12.17,67.05
84,Little Portugal,14,15.68,59.6,11.24,73.1
85,South Parkdale,14,20.29,49.72,16.3,64.65
86,Roncesvalles,11,16.84,60.83,11.21,67.05
87,High Park-Swansea,11,12.49,70.27,11.43,69.25
88,High Park North,11,12.62,69.84,11.57,67.3
89,Runnymede-Bloor West Village,11,12.87,67.61,10.59,69.05
90,Junction Area,11,16.38,59.92,12.63,69.85
91,Weston-Pelham Park,11,25.49,30.07,13.98,58
92,Corso Italia-Davenport,13,20.58,43.16,11.99,63.2
93,Dovercourt-Wallace Emerson-Junction,14,18.98,50.77,11.87,65.3
94,Wychwood,13,15.85,59.4,11.86,65.85
95,Annex,53,11.38,77.2,7.2,66
96,Casa Loma,53,12.29,75.67,8.47,63.2
97,Yonge-St.Clair,53,11.74,76.2,9.09,66.05
98,Rosedale-Moore Park,53,11.19,77.73,7,60.65
99,Mount Pleasant East,53,11.83,73.23,9.68,66
100,Yonge-Eglinton,53,10.04,76.98,8.95,68.45
101,Forest Hill South,13,12.21,75.1,7.45,62.65
102,Forest Hill North,53,15.22,68.66,10.01,66.1
