X,Y,Index_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood,ObjectId
-8843196.97152459,5411506.13601037,3436138,910787,2006,2006/02/26 05:00:00+00,117,1,LANSDOWNE AVE,DUNDAS ST W,,Minor Arterial,Toronto and East York,9,11,43.650445,-79.43979,Mid-Block,,No Control,Snow,Dark,Wet,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,None,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,83,Dufferin Grove (83),1
-8843196.97152459,5411506.13601037,3436139,910787,2006,2006/02/26 05:00:00+00,117,1,LANSDOWNE AVE,DUNDAS ST W,,Minor Arterial,Toronto and East York,9,11,43.650445,-79.43979,Mid-Block,,No Control,Snow,Dark,Wet,Non-Fatal Injury,SMV Other,Driver,20 to 24,Minimal,,North,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,83,Dufferin Grove (83),2
-8843196.97152459,5411506.13601037,3436140,910787,2006,2006/02/26 05:00:00+00,117,1,LANSDOWNE AVE,DUNDAS ST W,,Minor Arterial,Toronto and East York,9,11,43.650445,-79.43979,Mid-Block,,No Control,Snow,Dark,Wet,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,None,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,83,Dufferin Grove (83),3
-8843196.97152459,5411506.13601037,3436141,910787,2006,2006/02/26 05:00:00+00,117,1,LANSDOWNE AVE,DUNDAS ST W,,Minor Arterial,Toronto and East York,9,11,43.650445,-79.43979,Mid-Block,,No Control,Snow,Dark,Wet,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,None,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,83,Dufferin Grove (83),4
-8833779.34260347,5412260.02570393,3381375,890220,2006,2006/02/26 05:00:00+00,430,4,ADELAIDE ST E,EASTERN DIVERSION AVE,,Major Arterial,Toronto and East York,13,51,43.655345,-79.35519,Mid-Block,,No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,73,Moss Park (73),5
-8833779.34260347,5412260.02570393,3381376,890220,2006,2006/02/26 05:00:00+00,430,4,ADELAIDE ST E,EASTERN DIVERSION AVE,,Major Arterial,Toronto and East York,13,51,43.655345,-79.35519,Mid-Block,,No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,73,Moss Park (73),6
-8833779.34260347,5412260.02570393,3381377,890220,2006,2006/02/26 05:00:00+00,430,4,ADELAIDE ST E,EASTERN DIVERSION AVE,,Major Arterial,Toronto and East York,13,51,43.655345,-79.35519,Mid-Block,,No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,73,Moss Park (73),7
-8833779.34260347,5412260.02570393,3381378,890220,2006,2006/02/26 05:00:00+00,430,4,ADELAIDE ST E,EASTERN DIVERSION AVE,,Major Arterial,Toronto and East York,13,51,43.655345,-79.35519,Mid-Block,,No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,,,Other,Other,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,73,Moss Park (73),8
-8833779.34260347,5412260.02570393,3381379,890220,2006,2006/02/26 05:00:00+00,430,4,ADELAIDE ST E,EASTERN DIVERSION AVE,,Major Arterial,Toronto and East York,13,51,43.655345,-79.35519,Mid-Block,,No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,73,Moss Park (73),9
-8833779.34260347,5412260.02570393,3381380,890220,2006,2006/02/26 05:00:00+00,430,4,ADELAIDE ST E,EASTERN DIVERSION AVE,,Major Arterial,Toronto and East York,13,51,43.655345,-79.35519,Mid-Block,,No Control,Clear,Dark,Loose Snow,Non-Fatal Injury,SMV Other,Driver,15 to 19,Major,,East,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,Normal,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,73,Moss Park (73),10
