X,Y,Index_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood,ObjectId
-8834615.01802086,5411667.83247521,3374635,887568,2006,2006/01/08 05:00:00+00,1507,15,PARLIAMENT ST,FRONT ST E,,Minor Arterial,Toronto and East York,13,51,43.651496,-79.362697,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,40 to 44,Minimal,,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,,,,,,,,,Yes,,,,,,,Yes,Yes,,,77,Waterfront Communities-The Island (77),1
-8845523.54888217,5429955.63760032,5274370,1120071,2009,2009/07/06 04:00:00+00,2030,20,FINCH AVE W,WILMINGTON AVE,,Major Arterial,North York,6,32,43.770245,-79.46069,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,20 to 24,Major,,East,Motorcycle,Going Ahead,Disobeyed Traffic Control,Normal,,,,,,,,,Yes,Yes,,,,,Yes,Yes,Yes,,,34,Bathurst Manor (34),2
-8834615.01802086,5411667.83247521,3374636,887568,2006,2006/01/08 05:00:00+00,1507,15,PARLIAMENT ST,FRONT ST E,,Minor Arterial,Toronto and East York,13,51,43.651496,-79.362697,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,45 to 49,Major,,East,Passenger Van,Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,,,Yes,Yes,,,77,Waterfront Communities-The Island (77),3
-8834615.01802086,5411667.83247521,3374637,887568,2006,2006/01/08 05:00:00+00,1507,15,PARLIAMENT ST,FRONT ST E,,Minor Arterial,Toronto and East York,13,51,43.651496,-79.362697,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Other Property Owner,unknown,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,,,77,Waterfront Communities-The Island (77),4
-8837564.20529045,5410706.15707124,5280503,1122576,2009,2009/07/30 04:00:00+00,725,7,JOHN ST,WELLINGTON ST W,,Minor Arterial,Toronto and East York,10,52,43.645245,-79.38919,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,,,77,Waterfront Communities-The Island (77),5
-8834615.01802086,5411667.83247521,3374638,887568,2006,2006/01/08 05:00:00+00,1507,15,PARLIAMENT ST,FRONT ST E,,Minor Arterial,Toronto and East York,13,51,43.651496,-79.362697,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Other Property Owner,unknown,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,,,77,Waterfront Communities-The Island (77),6
-8837564.20529045,5410706.15707124,5280504,1122576,2009,2009/07/30 04:00:00+00,725,7,JOHN ST,WELLINGTON ST W,,Minor Arterial,Toronto and East York,10,52,43.645245,-79.38919,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,35 to 39,Minimal,,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive,,,,,,,,,Yes,,,,,,,Yes,Yes,,,77,Waterfront Communities-The Island (77),7
-8847994.84157778,5417338.84506023,3383875,891178,2006,2006/02/14 05:00:00+00,520,5,EGLINTON AVE W,BLACK CREEK DR,,Major Arterial,Etobicoke York,5,12,43.688345,-79.48289,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,None,,,Other,,,,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,,110,Keelesdale-Eglinton West (110),8
-8837564.20529045,5410706.15707124,5280505,1122576,2009,2009/07/30 04:00:00+00,725,7,JOHN ST,WELLINGTON ST W,,Minor Arterial,Toronto and East York,10,52,43.645245,-79.38919,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,,,77,Waterfront Communities-The Island (77),9
-8837564.20529045,5410706.15707124,5280506,1122576,2009,2009/07/30 04:00:00+00,725,7,JOHN ST,WELLINGTON ST W,,Minor Arterial,Toronto and East York,10,52,43.645245,-79.38919,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,30 to 34,Major,,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,,,Yes,Yes,,,77,Waterfront Communities-The Island (77),10
