X,Y,Index_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Hood_ID,Neighbourhood,ObjectId
-8822922.68662488,5436057.94159192,3370695,886039,2006,2006/01/09 05:00:00+00,1820,18,FINCH AVE E,MIDDLEFIELD RD,,Major Arterial,Scarborough,23,42,43.809817,-79.257663,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,129,Agincourt North (129),1
-8822922.68662488,5436057.94159192,3370696,886039,2006,2006/01/09 05:00:00+00,1820,18,FINCH AVE E,MIDDLEFIELD RD,,Major Arterial,Scarborough,23,42,43.809817,-79.257663,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,None,,East,Municipal Transit Bus (TTC),Turning Right,Driving Properly,Normal,,,,,,,Yes,,,,,Yes,,,,,,,,129,Agincourt North (129),2
-8822922.68662488,5436057.94159192,3370697,886039,2006,2006/01/09 05:00:00+00,1820,18,FINCH AVE E,MIDDLEFIELD RD,,Major Arterial,Scarborough,23,42,43.809817,-79.257663,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,,East,,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing without right of way,Inattentive,,,,Yes,,,,,Yes,,,,,,,,129,Agincourt North (129),3
-8838677.40019838,5412336.9566824,3380161,889773,2006,2006/02/02 05:00:00+00,1421,14,SPADINA AVE,NASSAU ST,,Major Arterial,Toronto and East York,11,52,43.655845,-79.39919,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,50 to 54,Major,,,Other,,,,,,,,,,,,Yes,,,Yes,,Yes,,,,,,78,Kensington-Chinatown (78),4
-8838677.40019838,5412336.9566824,3380162,889773,2006,2006/02/02 05:00:00+00,1421,14,SPADINA AVE,NASSAU ST,,Major Arterial,Toronto and East York,11,52,43.655845,-79.39919,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,50 to 54,Major,,South,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,,,,,,,,,Yes,,,Yes,,Yes,,,,,,78,Kensington-Chinatown (78),5
-8838677.40019838,5412336.9566824,3380163,889773,2006,2006/02/02 05:00:00+00,1421,14,SPADINA AVE,NASSAU ST,,Major Arterial,Toronto and East York,11,52,43.655845,-79.39919,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,None,,,Other,,,,,,,,,,,,Yes,,,Yes,,Yes,,,,,,78,Kensington-Chinatown (78),6
-8838677.40019838,5412336.9566824,3380164,889773,2006,2006/02/02 05:00:00+00,1421,14,SPADINA AVE,NASSAU ST,,Major Arterial,Toronto and East York,11,52,43.655845,-79.39919,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,None,,South,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,Yes,,Yes,,,,,,78,Kensington-Chinatown (78),7
-8815044.27230297,5430017.30044214,3390109,893580,2006,2006/02/27 05:00:00+00,1955,19,MORNINGSIDE AVE,KINGSTON RD,,Major Arterial,Scarborough,,43,43.770645,-79.18689,Intersection,,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,Yes,,,,Yes,,,,Yes,,,,136,West Hill (136),8
-8815044.27230297,5430017.30044214,3390110,893580,2006,2006/02/27 05:00:00+00,1955,19,MORNINGSIDE AVE,KINGSTON RD,,Major Arterial,Scarborough,,43,43.770645,-79.18689,Intersection,,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,35 to 39,None,,South,Municipal Transit Bus (TTC),Turning Right,Failed to Yield Right of Way,Inattentive,,,,,,,,Yes,,,,Yes,,,,Yes,,,,136,West Hill (136),9
-8815044.27230297,5430017.30044214,3390111,893580,2006,2006/02/27 05:00:00+00,1955,19,MORNINGSIDE AVE,KINGSTON RD,,Major Arterial,Scarborough,,43,43.770645,-79.18689,Intersection,,Traffic Signal,Clear,Dark,Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,,West,Bicycle,Going Ahead,,,,,,Motorist turning right on green or amber at signalized intersection strikes cyclist.,Driving Properly,Normal,,Yes,,,,Yes,,,,Yes,,,,136,West Hill (136),10
